ticker,XLB US Equity,XLB US Equity,XLB US Equity,XLB US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-06-19,57.47,1.3881999999999999,7166406.0,99.785
2019-06-20,58.2,1.3684,6743781.0,99.785
2019-06-21,57.67,1.9007,5826009.0,99.785
2019-06-23,57.67,1.9007,5826009.0,104.614
2019-06-24,57.89,1.9327999999999999,4601885.0,104.614
2019-06-25,57.92,1.893,5715908.0,104.614
2019-06-26,57.82,2.037,4184790.0,104.614
2019-06-27,58.01,1.8838,3438991.0,104.614
2019-06-28,58.5,1.9887000000000001,5008512.0,104.614
2019-06-30,58.5,1.9887000000000001,5008512.0,100.745
2019-07-01,58.95,1.9875,5981902.0,100.745
2019-07-02,58.89,1.9854,6320099.0,100.745
2019-07-03,59.19,1.8043,2475774.0,100.745
2019-07-05,58.92,1.9950999999999999,3810092.0,100.745
2019-07-07,58.92,1.9950999999999999,3810092.0,100.525
2019-07-08,58.24,1.8914,9791824.0,100.525
2019-07-09,57.67,1.6341,5194109.0,100.525
2019-07-10,57.55,1.6293,7314052.0,100.525
2019-07-11,57.8,1.681,11091468.0,100.525
2019-07-12,58.37,1.7094,4405040.0,100.525
2019-07-14,58.37,1.7094,4405040.0,91.245
2019-07-15,58.41,1.7765,4538315.0,91.245
2019-07-16,58.55,1.9193,4526004.0,91.245
2019-07-17,58.03,1.8677000000000001,7167431.0,91.245
2019-07-18,58.28,1.8171,3772791.0,91.245
2019-07-19,58.41,1.7275,3811197.0,91.245
2019-07-21,58.41,1.7275,3811197.0,92.763
2019-07-22,58.26,1.8246,2914317.0,92.763
2019-07-23,59.46,1.5642,4201703.0,92.763
2019-07-24,59.42,1.5987,3764936.0,92.763
2019-07-25,58.99,1.4241,6135499.0,92.763
2019-07-26,59.06,1.4208,7637665.0,92.763
2019-07-28,59.06,1.4208,7637665.0,93.239
2019-07-29,58.86,1.0279,2891555.0,93.239
2019-07-30,59.25,1.0013,4014777.0,93.239
2019-07-31,58.34,0.9946,8102694.0,93.239
2019-08-01,58.01,1.1433,9782922.0,93.239
2019-08-02,57.33,1.1747,7498021.0,93.239
2019-08-04,57.33,1.1747,7498021.0,94.332
2019-08-05,56.25,1.1681,10291069.0,94.332
2019-08-06,56.32,1.1739,11494560.0,94.332
2019-08-07,57.1,1.0804,23269371.0,94.332
2019-08-08,58.19,1.0413000000000001,5735116.0,94.332
2019-08-09,57.73,1.0856,4624581.0,94.332
2019-08-11,57.73,1.0856,4624581.0,98.215
2019-08-12,56.83,1.0814,22533651.0,98.215
2019-08-13,57.44,1.0834,7074260.0,98.215
2019-08-14,55.62,1.0843,9129307.0,98.215
2019-08-15,55.64,1.051,8918944.0,98.215
2019-08-16,56.62,1.0937999999999999,5846720.0,98.215
2019-08-18,56.62,1.0937999999999999,5846720.0,105.513
2019-08-19,57.07,1.0387,3327984.0,105.513
2019-08-20,56.4,1.0547,4739040.0,105.513
2019-08-21,56.69,1.0601,3202295.0,105.513
2019-08-22,56.31,1.0581,2607444.0,105.513
2019-08-23,54.95,1.0659,9090627.0,105.513
2019-08-25,54.95,1.0659,9090627.0,97.524
2019-08-26,55.13,1.0024,7453311.0,97.524
2019-08-27,55.17,1.0657,5594946.0,97.524
2019-08-28,55.6,1.0928,3772486.0,97.524
2019-08-29,56.31,1.0882,4093442.0,97.524
2019-08-30,56.69,1.1617,5071310.0,97.524
2019-09-01,56.69,1.1617,5071310.0,100.027
2019-09-03,56.24,1.1781,5807861.0,100.027
2019-09-04,56.93,1.046,5942036.0,100.027
2019-09-05,57.02,1.0422,5824090.0,100.027
2019-09-06,57.24,1.0393,3952251.0,100.027
2019-09-08,57.24,1.0393,3952251.0,101.028
2019-09-09,56.94,1.0648,6851970.0,101.028
2019-09-10,57.5,1.0563,4979542.0,101.028
2019-09-11,58.05,1.0626,5408047.0,101.028
2019-09-12,58.5,1.0634,10724170.0,101.028
2019-09-13,59.14,0.9153,5473972.0,101.028
2019-09-15,59.14,0.9153,5473972.0,104.502
2019-09-16,58.17,0.9256,4733762.0,104.502
2019-09-17,58.64,0.9245,4085362.0,104.502
2019-09-18,58.67,0.9373,4082305.0,104.502
2019-09-19,58.77,0.9682,3266275.0,104.502
2019-09-20,58.34,1.1041,5196979.0,104.502
2019-09-22,58.34,1.1041,5196979.0,103.656
2019-09-23,58.2,1.0825,3070879.0,103.656
2019-09-24,57.7,1.0046,9040451.0,103.656
2019-09-25,58.0,1.0349,4592896.0,103.656
2019-09-26,57.87,1.1071,4039301.0,103.656
2019-09-27,57.71,1.2317,6186066.0,103.656
2019-09-29,57.71,1.2317,6186066.0,103.405
2019-09-30,58.2,1.2496,3880267.0,103.405
2019-10-01,56.83,1.2516,7318560.0,103.405
2019-10-02,55.81,1.2851,11690823.0,103.405
2019-10-03,56.01,1.3027,8266288.0,103.405
