ticker,XLY US Equity,XLY US Equity,XLY US Equity,XLY US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-09-22,120.39,1.7203,3815158.0,74.074
2019-09-23,120.81,1.6989999999999998,2237796.0,74.074
2019-09-24,119.52,1.4597,5363060.0,74.074
2019-09-25,120.61,1.3521,3256470.0,74.074
2019-09-26,120.09,1.3355000000000001,3020459.0,74.074
2019-09-27,119.67,1.3293,3557054.0,74.074
2019-09-29,119.67,1.3293,3557054.0,75.366
2019-09-30,120.7,1.322,2494186.0,75.366
2019-10-01,119.69,1.1903,3636896.0,75.366
2019-10-02,117.54,1.1419,5504988.0,75.366
2019-10-03,118.11,1.1515,7231831.0,75.366
2019-10-04,119.22,1.1988,3189184.0,75.366
2019-10-06,119.22,1.1988,3189184.0,75.429
2019-10-07,118.7,1.1995,2760797.0,75.429
2019-10-08,117.45,1.2031,2944897.0,75.429
2019-10-09,118.45,1.2285,3048708.0,75.429
2019-10-10,119.24,1.2248999999999999,3274375.0,75.429
2019-10-11,120.59,1.2255,5315850.0,75.429
2019-10-13,120.59,1.2255,5315850.0,75.869
2019-10-14,120.53,1.2542,1575535.0,75.869
2019-10-15,121.59,1.2137,2556820.0,75.869
2019-10-16,122.09,1.2117,3072809.0,75.869
2019-10-17,122.41,1.1867,2307071.0,75.869
2019-10-18,122.17,1.1975,2061372.0,75.869
2019-10-20,122.17,1.1975,2061372.0,75.364
2019-10-21,122.6,1.3375,2410230.0,75.364
2019-10-22,121.82,1.3506,2747944.0,75.364
2019-10-23,121.26,1.329,1887637.0,75.364
2019-10-24,121.2,1.3431,2203784.0,75.364
2019-10-25,121.06,1.3312,2737404.0,75.364
2019-10-27,121.06,1.3312,2737404.0,74.21
2019-10-28,121.44,1.377,2057940.0,74.21
2019-10-29,120.75,1.3552,2306907.0,74.21
2019-10-30,121.5,1.3664,2902071.0,74.21
2019-10-31,120.85,1.3176,3126995.0,74.21
2019-11-01,121.65,1.317,3214889.0,74.21
2019-11-03,121.65,1.317,3214889.0,74.474
2019-11-04,121.71,1.3577,4765942.0,74.474
2019-11-05,121.89,1.3946,2154532.0,74.474
2019-11-06,122.02,1.397,3611577.0,74.474
2019-11-07,121.29,1.1974,3833565.0,74.474
2019-11-08,121.34,1.0637,2074719.0,74.474
2019-11-10,121.34,1.0637,2074719.0,73.326
2019-11-11,121.09,1.0571,1862828.0,73.326
2019-11-12,121.01,1.0493999999999999,2194507.0,73.326
2019-11-13,120.63,1.0536,2494867.0,73.326
2019-11-14,121.15,1.0514000000000001,1979897.0,73.326
2019-11-15,121.37,1.0554,2268382.0,73.326
2019-11-17,121.37,1.0554,2268382.0,73.457
2019-11-18,121.79,1.0657,2806173.0,73.457
2019-11-19,120.45,0.9842,3164538.0,73.457
2019-11-20,120.17,0.9563,4428263.0,73.457
2019-11-21,119.49,0.964,2587194.0,73.457
2019-11-22,120.31,0.9484,2385165.0,73.457
2019-11-24,120.31,0.9484,2385165.0,73.478
2019-11-25,121.37,1.0588,3814210.0,73.478
2019-11-26,122.2,1.0604,3774556.0,73.478
2019-11-27,123.25,1.0503,4213043.0,73.478
2019-11-29,122.45,1.0212,1755092.0,73.478
2019-12-01,122.45,1.0212,1755092.0,73.715
2019-12-02,121.44,1.0654,3594792.0,73.715
2019-12-03,120.22,1.0728,4525809.0,73.715
2019-12-04,120.89,1.1179999999999999,2829149.0,73.715
2019-12-05,120.77,1.1161,2352313.0,73.715
2019-12-06,121.74,1.1399,2515613.0,73.715
2019-12-08,121.74,1.1399,2515613.0,74.204
2019-12-09,121.89,1.1819,2149393.0,74.204
2019-12-10,121.68,1.1721,2179953.0,74.204
2019-12-11,121.99,1.1763,2049670.0,74.204
2019-12-12,123.06,1.1889,4613189.0,74.204
2019-12-13,123.17,1.19,3562464.0,74.204
2019-12-15,123.17,1.19,3562464.0,75.285
2019-12-16,123.71,1.1096,3646828.0,75.285
2019-12-17,124.26,1.1288,3409613.0,75.285
2019-12-18,124.38,1.1244,2639175.0,75.285
2019-12-19,124.77,1.2297,3246544.0,75.285
2019-12-20,124.55,1.0587,3336820.0,75.285
2019-12-22,124.55,1.0587,3336820.0,74.357
2019-12-23,124.26,1.0673,3164156.0,74.357
2019-12-24,124.54,0.8936,1648079.0,74.357
2019-12-26,126.06,0.8974,2517945.0,74.357
2019-12-27,126.05,0.9008,2958904.0,74.357
2019-12-29,126.05,0.9008,2958904.0,75.256
2019-12-30,125.24,0.9253,3338723.0,75.256
2019-12-31,125.42,0.9495,1783733.0,75.256
