ticker,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-08-05,11.77,32.48,1329.68,21.3462,7.1416,4.3285,5.13,4.6847
2019-08-06,11.86,32.48,1351.07,21.6896,7.2565,4.3981,5.05,4.6105
2019-08-07,11.84,32.48,1359.7,21.8281,7.3029,4.4262,5.01,4.5813
2019-08-08,11.73,32.48,1392.17,22.3494,7.4772,4.5319,4.9,4.4744
2019-08-09,11.59,32.5,1374.82,22.0733,7.3661,4.4466,4.96,4.5304
2019-08-12,11.64,32.5,1357.55,21.796,7.2736,4.3908,5.03,4.588
2019-08-13,11.67,32.5,1391.09,22.3345,7.4533,4.4993,4.91,4.4774
2019-08-14,11.55,32.5,1347.85,21.6403,7.2216,4.3594,5.06,4.621
2019-08-15,11.61,32.5,1345.34,21.6,7.2082,4.3513,5.07,4.6296
2019-08-16,11.62,32.5,1370.62,22.0059,7.3436,4.4331,4.98,4.5442
2019-08-19,11.65,32.5,1391.95,22.3483,7.4579,4.502,4.9,4.4746
2019-08-20,11.64,32.5,1384.62,22.2307,7.4187,4.4783,4.93,4.4983
2019-08-21,11.65,32.5,1400.95,22.4928,7.5062,4.5311,4.87,4.4459
2019-08-22,11.69,32.5,1397.29,22.4341,7.4865,4.5193,4.88,4.4575
2019-08-23,11.5,32.5,1351.11,21.6926,7.2391,4.3699,5.05,4.6099
2019-08-26,11.51,32.42,1369.95,22.0004,7.3417,4.4324,4.98,4.5454
2019-08-27,11.46,32.42,1368.12,21.971,7.3319,4.4265,4.98,4.5515
2019-08-28,11.48,32.42,1369.42,21.9918,7.3388,4.4307,4.98,4.5471
2019-08-29,11.51,32.43,1393.07,22.6855,7.4605,4.5193,4.85,4.4081
2019-08-30,11.53,32.42,1393.25,22.6758,7.4579,4.5177,4.85,4.41
2019-09-02,11.54,32.46,1393.25,22.6758,7.4579,4.5177,4.85,4.41
