ticker,XLK US Equity,XLK US Equity,XLK US Equity,XLK US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-08-11,78.49,1.5039,15572602.0,64.197
2019-08-12,77.46,1.4905,10893391.0,64.197
2019-08-13,79.4,1.4941,26082725.0,64.197
2019-08-14,76.96,1.5182,23569346.0,64.197
2019-08-15,76.82,1.4794,15668558.0,64.197
2019-08-16,78.28,1.451,10862450.0,64.197
2019-08-18,78.28,1.451,10862450.0,59.243
2019-08-19,79.47,1.4395,7878240.0,59.243
2019-08-20,79.07,1.4409,8337949.0,59.243
2019-08-21,80.0,1.4069,8403058.0,59.243
2019-08-22,79.81,1.3924,7594419.0,59.243
2019-08-23,77.17,1.392,20399029.0,59.243
2019-08-25,77.17,1.392,20399029.0,58.739
2019-08-26,78.24,1.4257,10358523.0,58.739
2019-08-27,78.12,1.4718,10033044.0,58.739
2019-08-28,78.19,1.4718,7139588.0,58.739
2019-08-29,79.55,1.4704,8121072.0,58.739
2019-08-30,79.53,1.4615,10075443.0,58.739
2019-09-01,79.53,1.4615,10075443.0,58.727
2019-09-03,78.56,1.4964,11838051.0,58.727
2019-09-04,79.9,1.5038,7729905.0,58.727
2019-09-05,81.57,1.5013999999999998,10043358.0,58.727
2019-09-06,81.5,1.5133999999999999,9150075.0,58.727
2019-09-08,81.5,1.5133999999999999,9150075.0,57.616
2019-09-09,80.89,1.5544,12610706.0,57.616
2019-09-10,80.48,1.5434999999999999,9858667.0,57.616
2019-09-11,81.32,1.554,9409273.0,57.616
2019-09-12,81.76,1.571,12771022.0,57.616
2019-09-13,81.16,1.6141999999999999,16533550.0,57.616
2019-09-15,81.16,1.6141999999999999,16533550.0,56.618
2019-09-16,80.96,1.6553,7725882.0,56.618
2019-09-17,81.29,1.5574,7706046.0,56.618
2019-09-18,81.28,1.5697999999999999,8797790.0,56.618
2019-09-19,81.46,1.5657999999999999,8204618.0,56.618
2019-09-20,80.26,1.8797000000000001,15085791.0,56.618
2019-09-22,80.26,1.8797000000000001,15085791.0,57.597
2019-09-23,80.51,1.7286000000000001,7889342.0,57.597
2019-09-24,79.73,1.5082,17731003.0,57.597
2019-09-25,80.68,1.5883,11963453.0,57.597
2019-09-26,80.77,1.5948,9116911.0,57.597
2019-09-27,79.69,1.5976,12782303.0,57.597
2019-09-29,79.69,1.5976,12782303.0,57.815
2019-09-30,80.53,1.5586,11007188.0,57.815
2019-10-01,79.78,1.5796000000000001,11022587.0,57.815
2019-10-02,78.28,1.5933000000000002,19760571.0,57.815
2019-10-03,79.24,1.5862,17476528.0,57.815
2019-10-04,80.55,1.5933000000000002,11020636.0,57.815
2019-10-06,80.55,1.5933000000000002,11020636.0,57.948
2019-10-07,80.21,1.6252,10621149.0,57.948
2019-10-08,78.74,1.5665,14481367.0,57.948
