ticker,XLI US Equity,XLI US Equity,XLI US Equity,XLI US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-08-26,73.66,1.2993999999999999,14041865.0,100.056
2019-08-27,73.28,1.533,9943314.0,100.056
2019-08-28,74.18,1.5945,11921308.0,100.056
2019-08-29,75.45,1.446,10651035.0,100.056
2019-08-30,75.76,1.3269,7500225.0,100.056
2019-09-01,75.76,1.3269,7500225.0,94.142
2019-09-03,74.73,1.4143,12787100.0,94.142
2019-09-04,75.68,1.2325,9265735.0,94.142
2019-09-05,77.04,1.251,14267050.0,94.142
2019-09-06,77.2,1.4255,6940300.0,94.142
2019-09-08,77.2,1.4255,6940300.0,92.475
2019-09-09,77.43,1.4837,8080968.0,92.475
2019-09-10,78.14,1.4527999999999999,9487356.0,92.475
2019-09-11,78.87,1.4717,14262632.0,92.475
2019-09-12,78.92,1.4751,18667744.0,92.475
2019-09-13,79.35,1.491,9357681.0,92.475
2019-09-15,79.35,1.491,9357681.0,94.122
2019-09-16,79.28,1.5682,8011684.0,94.122
2019-09-17,79.24,1.4107,6250776.0,94.122
2019-09-18,79.12,1.432,8089653.0,94.122
2019-09-19,78.72,1.3548,5076787.0,94.122
2019-09-20,77.81,1.7452,10493363.0,94.122
2019-09-22,77.81,1.7452,10493363.0,93.589
2019-09-23,77.66,1.7014,14480280.0,93.589
2019-09-24,77.22,1.2551,11885629.0,93.589
2019-09-25,77.72,1.2745,10003012.0,93.589
2019-09-26,77.83,1.3332,9600984.0,93.589
2019-09-27,77.52,1.3682,10226850.0,93.589
2019-09-29,77.52,1.3682,10226850.0,94.497
2019-09-30,77.63,1.3969,6225132.0,94.497
2019-10-01,75.77,1.3271,15975632.0,94.497
2019-10-02,74.34,1.2692999999999999,12499799.0,94.497
2019-10-03,74.83,1.2521,16635180.0,94.497
2019-10-04,75.61,1.22,9178987.0,94.497
2019-10-06,75.61,1.22,9178987.0,96.684
2019-10-07,75.23,1.2201,7305680.0,96.684
2019-10-08,74.07,1.3032,11582450.0,96.684
2019-10-09,74.7,1.291,6271933.0,96.684
2019-10-10,75.38,1.2949,9322265.0,96.684
2019-10-11,76.8,1.3528,16252274.0,96.684
2019-10-13,76.8,1.3528,16252274.0,93.561
2019-10-14,76.65,1.2625,4863349.0,93.561
2019-10-15,77.27,1.1917,8985775.0,93.561
2019-10-16,77.23,1.1982,8797300.0,93.561
2019-10-17,77.61,1.2328000000000001,7978942.0,93.561
2019-10-18,76.94,1.2753,9694811.0,93.561
2019-10-20,76.94,1.2753,9694811.0,91.802
2019-10-21,77.4,1.782,8428064.0,91.802
2019-10-22,78.01,1.8316,11366748.0,91.802
2019-10-23,78.0,1.7873,7390190.0,91.802
2019-10-24,78.11,1.6667999999999998,8414560.0,91.802
2019-10-25,78.6,1.7265000000000001,7718550.0,91.802
2019-10-27,78.6,1.7265000000000001,7718550.0,91.688
2019-10-28,78.82,1.8564,8138157.0,91.688
2019-10-29,79.08,1.5739999999999998,10429211.0,91.688
2019-10-30,79.36,1.6034000000000002,9208262.0,91.688
2019-10-31,78.51,1.6143,10693182.0,91.688
2019-11-01,80.22,1.7772000000000001,19657946.0,91.688
2019-11-03,80.22,1.7772000000000001,19657946.0,89.858
2019-11-04,81.15,2.0224,15294167.0,89.858
2019-11-05,81.32,1.9555,14923911.0,89.858
2019-11-06,81.37,1.9656,12253192.0,89.858
2019-11-07,81.65,1.9647999999999999,10296960.0,89.858
2019-11-08,81.76,1.8712,6323390.0,89.858
2019-11-10,81.76,1.8712,6323390.0,84.241
2019-11-11,81.8,1.9159000000000002,5801492.0,84.241
2019-11-12,81.79,1.8738000000000001,8293520.0,84.241
2019-11-13,81.45,1.9125999999999999,9892093.0,84.241
2019-11-14,81.71,2.02,7355029.0,84.241
2019-11-15,82.31,2.0206,6150737.0,84.241
2019-11-17,82.31,2.0206,6150737.0,84.143
2019-11-18,82.0,2.3084,5119374.0,84.143
2019-11-19,81.93,1.9342000000000001,9192815.0,84.143
2019-11-20,81.28,1.9119000000000002,14726652.0,84.143
2019-11-21,81.25,1.9681,6094774.0,84.143
2019-11-22,81.67,1.8975,5205115.0,84.143
2019-11-24,81.67,1.8975,5205115.0,85.582
2019-11-25,82.26,2.0921,9190238.0,85.582
2019-11-26,82.5,2.0635,6069444.0,85.582
2019-11-27,82.42,2.0694,9186238.0,85.582
2019-11-29,82.04,2.0354,5645448.0,85.582
2019-12-01,82.04,2.0354,5645448.0,86.141
2019-12-02,80.69,2.0325,18275953.0,86.141
2019-12-03,79.81,1.9464000000000001,20416279.0,86.141
2019-12-04,80.12,1.5915,16090298.0,86.141
2019-12-05,80.14,1.5427,18539367.0,86.141
