ticker,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-08-16,4.16,22.33,419.03,15.0484,1.4626000000000001,1.0288,5.11,6.6452
2019-08-19,4.17,22.33,428.01,15.3709,1.4939,1.0508,5.0,6.5058
2019-08-20,4.18,22.33,423.89,15.2229,1.4796,1.0407,5.05,6.5691
2019-08-21,4.16,22.33,427.08,15.3375,1.4907,1.0486,5.01,6.52
2019-08-22,4.16,22.33,425.02,15.2635,1.4835,1.0435,5.04,6.5516
2019-08-23,4.13,22.33,410.68,14.7485,1.4335,1.0083,5.22,6.7804
2019-08-26,4.12,22.33,412.53,14.8149,1.4399,1.0128,5.19,6.7499
2019-08-27,4.12,22.33,409.96,14.7226,1.4309,1.0065,5.22,6.7923
2019-08-28,4.11,22.33,415.71,14.9291,1.451,1.0206,5.15,6.6983
2019-08-29,4.13,22.33,421.74,15.1457,1.4721,1.0354,5.08,6.6025
2019-08-30,4.13,22.33,422.09,15.1583,1.4733,1.0363,5.07,6.5971
2019-09-02,4.13,22.33,422.09,15.1583,1.4733,1.0363,5.07,6.5971
2019-09-03,4.15,22.33,419.76,15.0746,1.4651,1.0306,5.1,6.6337
2019-09-04,4.16,22.33,425.6,15.2843,1.4855,1.0449,5.03,6.5427
2019-09-05,4.18,22.33,431.01,15.4786,1.5044,1.0582,4.97,6.4605
2019-09-06,4.18,22.33,433.24,15.5587,1.5122,1.0637,4.9399999999999995,6.4273
2019-09-09,4.21,22.33,441.27,15.8471,1.5402,1.0834,4.85,6.3103
2019-09-10,4.19,22.33,446.98,16.0521,1.5602,1.0974,4.79,6.2297
2019-09-11,4.2,22.33,447.08,16.0557,1.5605,1.0977,4.79,6.2283
2019-09-12,4.19,22.33,444.25,15.9541,1.5506,1.0907,4.82,6.268
2019-09-13,4.2,22.33,447.81,16.0819,1.5631,1.0994,4.78,6.2182
2019-09-16,4.21,22.33,462.55,16.6113,1.6145,1.1356,4.63,6.02
2019-09-17,4.18,22.33,455.54,16.3595,1.5899999999999999,1.1184,4.7,6.1126
2019-09-18,4.18,22.33,453.64,16.2913,1.5834000000000001,1.1138,4.72,6.1382
2019-09-19,4.17,22.33,451.89,16.2284,1.5773000000000001,1.1095,4.74,6.162
2019-09-20,4.16,22.33,452.25,16.2414,1.5785,1.1103,4.74,6.1571
2019-09-23,4.15,22.33,452.76,16.2403,1.5807,1.108,4.71,6.1575
2019-09-24,4.13,22.33,445.38,15.9756,1.5549,1.0899,4.78,6.2595
2019-09-25,4.13,22.33,446.4,16.0122,1.5585,1.0924,4.77,6.2452
2019-09-26,4.16,22.33,440.45,15.7988,1.5377,1.0779,4.84,6.3296
2019-09-27,4.19,22.33,440.45,15.7988,1.5377,1.0779,4.84,6.3296
2019-09-30,4.19,24.18,437.13,18.1421,1.5394999999999999,1.0993,4.57,5.5120000000000005
2019-10-01,4.2,24.18,427.07,17.7246,1.504,1.074,4.68,5.6419
2019-10-02,4.21,24.18,415.93,17.2622,1.4647999999999999,1.046,4.8100000000000005,5.793
2019-10-03,4.23,24.18,421.16,17.4793,1.4832,1.0592,4.75,5.7211
2019-10-04,4.23,24.18,423.76,17.5872,1.4924,1.0657,4.72,5.686
2019-10-07,4.2,24.18,419.86,17.4253,1.4786000000000001,1.0559,4.76,5.7388
2019-10-08,4.21,24.18,412.37,17.1145,1.4523,1.0371,4.85,5.843
2019-10-09,4.2,24.18,416.77,17.2971,1.4678,1.0481,4.8,5.7813
2019-10-10,4.19,24.18,422.11,17.5187,1.4866,1.0615,4.74,5.7082
2019-10-11,3.36,24.18,428.04,17.7648,1.5074999999999998,1.0765,4.67,5.6291
2019-10-14,2.94,24.18,427.54,17.7441,1.5057,1.0752,4.68,5.6357
2019-10-15,2.94,24.18,429.22,17.8138,1.5116,1.0794,4.66,5.6136
2019-10-16,2.93,24.18,422.81,17.5478,1.4889999999999999,1.0633,4.73,5.6987
2019-10-17,2.93,24.18,422.97,17.5544,1.4896,1.0637,4.73,5.6966
2019-10-18,2.93,24.18,420.67,17.459,1.4815,1.0579,4.75,5.7277000000000005
2019-10-21,2.02,24.18,428.49,17.7835,1.509,1.0776,4.67,5.6232
2019-10-22,2.02,24.18,434.1,18.0163,1.5288,1.0917,4.61,5.5504999999999995
2019-10-23,2.03,24.18,437.36,18.1516,1.5403,1.0999,4.57,5.5091
2019-10-24,2.03,24.18,435.5,18.0744,1.5337,1.0952,4.59,5.5327
2019-10-25,-2.21,24.18,438.87,18.2143,1.5455999999999999,1.1037,4.5600000000000005,5.4902
2019-10-28,-2.08,24.18,436.14,18.101,1.536,1.0968,4.58,5.5245999999999995
2019-10-29,-2.03,24.18,437.97,18.177,1.5424,1.1014,4.57,5.5015
2019-10-30,-2.02,24.18,428.68,17.7914,1.5097,1.0781,4.66,5.6207
2019-10-31,-1.99,24.18,426.66,17.7076,1.5026000000000002,1.073,4.6899999999999995,5.6472999999999995
2019-11-01,-2.02,24.18,437.36,18.1516,1.5403,1.0999,4.57,5.5091
2019-11-04,-2.33,24.18,451.12,18.7227,1.5887,1.1345,4.43,5.3411
2019-11-05,-2.33,24.18,453.17,18.8078,1.596,1.1397,4.41,5.3169
2019-11-06,17.62,24.18,442.79,18.377,1.5594000000000001,1.1136,4.52,5.4416
2019-11-07,16.79,24.18,449.78,18.6671,1.584,1.1311,4.45,5.357
2019-11-08,16.82,24.18,446.13,18.5156,1.5712000000000002,1.1219999999999999,4.48,5.4008
2019-11-11,16.83,24.18,443.65,18.4127,1.5624,1.1157,4.51,5.431
2019-11-12,16.53,24.18,441.05,18.3048,1.5533000000000001,1.1092,4.53,5.4631
2019-11-13,17.06,24.18,438.79,18.211,1.5453000000000001,1.1035,4.5600000000000005,5.4912
2019-11-14,19.38,24.18,437.5,18.1575,1.5408,1.1002,4.57,5.5074
2019-11-15,18.32,24.18,440.43,18.2791,1.5511,1.1076,4.54,5.4707
