ticker,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-08-05,7.74,32.89,1028.13,19.0094,4.0511,1.658,5.41,5.2606
2019-08-06,7.86,32.89,1041.18,19.2507,4.1025,1.679,5.35,5.1946
2019-08-07,7.87,32.89,1040.86,19.2448,4.1013,1.6785,5.35,5.1962
2019-08-08,7.88,32.89,1055.21,19.5101,4.1578,1.7016,5.28,5.1256
2019-08-09,7.82,32.89,1057.12,19.5454,4.1653,1.7046999999999999,5.27,5.1163
2019-08-12,7.76,32.89,1046.49,19.3488,4.1234,1.6876,5.32,5.1683
2019-08-13,7.78,32.89,1059.98,19.598300000000002,4.1766,1.7093,5.25,5.1025
2019-08-14,7.77,32.89,1029.94,19.0428,4.0582,1.6609,5.41,5.2513
2019-08-15,7.77,32.89,1033.52,19.109,4.0723,1.6667,5.39,5.2331
2019-08-16,7.78,32.89,1045.87,19.3374,4.121,1.6865999999999999,5.32,5.1713000000000005
2019-08-19,7.77,32.89,1056.18,19.528,4.1616,1.7032,5.27,5.1208
2019-08-20,7.78,32.89,1047.12,19.3605,4.1259,1.6886,5.32,5.1652000000000005
2019-08-21,7.78,32.89,1054.96,19.5055,4.1568,1.7012,5.28,5.1268
2019-08-22,7.76,32.89,1049.81,19.4102,4.1365,1.6928999999999998,5.3,5.1519
2019-08-23,7.76,32.89,1025.47,18.9602,4.0406,1.6537,5.43,5.2742
2019-08-26,7.76,32.89,1035.41,19.144,4.0798,1.6697,5.38,5.2236
2019-08-27,7.76,32.89,1029.73,19.039,4.0574,1.6604999999999999,5.41,5.2524
2019-08-28,7.76,32.89,1037.01,19.1736,4.0861,1.6723,5.37,5.2155
2019-08-29,7.8,32.89,1045.0,19.3213,4.1176,1.6852,5.33,5.1756
2019-08-30,7.82,32.89,1046.74,19.3535,4.1244,1.688,5.32,5.167
2019-09-02,7.82,32.89,1046.74,19.3535,4.1244,1.688,5.32,5.167
2019-09-03,7.8100000000000005,32.86,1040.16,19.2332,4.0997,1.678,5.35,5.1993
2019-09-04,7.8100000000000005,32.86,1040.31,19.236,4.1003,1.6782,5.35,5.1986
2019-09-05,7.8,32.86,1050.46,19.4237,4.1403,1.6945999999999999,5.3,5.1484
2019-09-06,7.75,32.86,1053.74,19.4843,4.1532,1.6999,5.28,5.1323
