ticker,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-07-12,8.38,38.47,615.88,20.9165,5.9684,1.549,4.01,4.7809
2019-07-15,7.5,38.47,617.13,20.9589,5.9805,1.5521,4.0,4.7712
2019-07-16,7.51,38.47,617.2,20.9613,5.9812,1.5523,4.0,4.7707
2019-07-17,7.5600000000000005,38.47,616.39,20.9338,5.9733,1.5503,4.0,4.777
2019-07-18,7.61,38.47,621.45,21.1056,6.0223,1.563,3.9699999999999998,4.7381
2019-07-19,7.63,38.47,617.25,20.963,5.9816,1.5524,4.0,4.7703
2019-07-22,7.29,38.47,613.96,20.8247,5.9498,1.5432000000000001,4.03,4.802
2019-07-23,7.45,38.47,617.82,20.9556,5.9872,1.5529,4.0,4.772
2019-07-24,7.47,38.47,613.89,20.8227,5.9491,1.5430000000000001,4.03,4.8025
2019-07-25,7.46,38.47,613.65,20.8145,5.9468,1.5424,4.03,4.8043
2019-07-26,7.5,38.47,620.94,21.0618,6.0174,1.5607,3.98,4.7479
2019-07-29,7.48,38.43,622.5,21.1146,6.0339,1.5647,3.9699999999999998,4.7361
2019-07-30,7.53,38.43,623.64,21.1533,6.045,1.5676,3.96,4.7274
2019-07-31,7.58,38.39,611.23,20.744,5.9008,1.5325,4.09,4.8207
2019-08-01,7.47,38.39,608.27,20.6495,5.8722,1.525,4.11,4.8427
2019-08-02,6.15,38.39,608.99,20.6748,5.8792,1.5269,4.1,4.8368
2019-08-05,6.14,38.39,592.59,20.1181,5.7208,1.4858,4.21,4.9707
2019-08-06,6.31,38.39,598.32,20.3126,5.7762,1.5001,4.17,4.9231
2019-08-07,6.31,38.39,605.27,20.5485,5.8433,1.5175999999999998,4.13,4.8665
2019-08-08,6.28,38.39,612.59,20.7971,5.9139,1.5359,4.08,4.8084
2019-08-09,6.23,38.39,609.05,20.6769,5.8797,1.5270000000000001,4.1,4.8363
2019-08-12,6.22,38.39,605.12,20.5435,5.8418,1.5171999999999999,4.13,4.8677
2019-08-13,6.25,38.39,612.34,20.7886,5.9115,1.5352999999999999,4.08,4.8103
2019-08-14,6.25,38.39,602.63,20.4618,5.8178,1.5109,4.14,4.8872
2019-08-15,6.61,38.39,611.74,20.7711,5.9056999999999995,1.5338,4.08,4.8144
2019-08-16,6.62,38.39,618.62,21.0043,5.9721,1.5510000000000002,4.04,4.7609
2019-08-19,6.62,38.39,624.42,21.1437,6.0262,1.5655000000000001,4.01,4.7295
2019-08-20,6.66,38.39,616.85,20.8874,5.9531,1.5465,4.06,4.7876
2019-08-21,6.65,38.39,618.97,20.9593,5.9736,1.5518,4.04,4.7712
2019-08-22,6.66,38.39,621.65,21.1004,5.9995,1.5586,4.03,4.7392
2019-08-23,6.54,38.39,611.45,20.7542,5.901,1.533,4.09,4.8183
2019-08-26,6.54,38.41,618.33,20.976,5.9588,1.5502,4.06,4.7674
2019-08-27,6.55,38.41,616.53,20.9149,5.9415,1.5457,4.07,4.7813
2019-08-28,6.54,38.41,622.33,21.1117,5.9974,1.5602,4.03,4.7367
2019-08-29,6.53,38.41,622.31,21.1107,5.9972,1.5602,4.03,4.7369
2019-08-30,6.52,38.41,621.27,21.0754,5.9872,1.5575999999999999,4.04,4.7449
2019-09-02,6.55,38.35,621.27,21.0754,5.9872,1.5575999999999999,4.04,4.7449
