ticker,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-07-02,13.64,48.51,956.8829,24.248,8.0592,1.7465000000000002,4.49,4.1241
2019-07-03,13.59,48.51,964.02,24.4288,8.1193,1.7595,4.46,4.0935
2019-07-04,13.59,48.51,964.02,24.4288,8.1193,1.7595,4.46,4.0935
2019-07-05,13.58,48.51,965.1333,24.457,8.1286,1.7616,4.45,4.0888
2019-07-08,13.59,48.51,966.9199,24.502299999999998,8.1437,1.7648000000000001,4.45,4.0813
2019-07-09,13.65,48.51,970.0942,24.5827,8.1704,1.7706,4.44,4.0679
2019-07-10,13.7,48.51,973.8611,24.6782,8.2022,1.7774999999999999,4.42,4.0522
2019-07-11,13.65,48.51,975.4554,24.7186,8.2156,1.7804,4.41,4.0455
2019-07-12,13.64,48.51,985.8344,24.9816,8.303,1.7993999999999999,4.37,4.0029
2019-07-15,13.65,48.5,989.1725,25.064,8.3278,1.8053,4.35,3.9898
2019-07-16,13.64,48.5,987.4047,25.0987,8.3129,1.8021,4.35,3.9843
2019-07-17,13.65,48.5,978.5143,24.8728,8.238,1.7859,4.39,4.0205
2019-07-18,14.13,48.5,976.3793,24.8185,8.22,1.782,4.4,4.0293
2019-07-19,14.13,48.5,969.5173,24.6441,8.1623,1.7694999999999999,4.43,4.0578
2019-07-22,14.06,48.5,971.0837,24.6839,8.1755,1.7723,4.43,4.0512
2019-07-23,14.06,48.5,976.6838,24.8262,8.2226,1.7826,4.41,4.028
2019-07-24,13.3,48.5,981.9084,24.9573,8.2666,1.7921,4.38,4.0068
2019-07-25,13.81,48.5,975.6912,24.7995,8.2143,1.7807,4.41,4.0323
2019-07-26,13.72,48.5,977.8499,24.8544,8.2324,1.7847,4.4,4.0234
2019-07-29,13.65,48.44,972.1676,24.7151,8.1782,1.7743,4.43,4.0461
2019-07-30,13.69,48.44,965.4779,24.545,8.122,1.7621,4.46,4.0741
2019-07-31,13.52,48.48,954.0943,24.2569,8.0318,1.7412999999999998,4.51,4.1225
2019-08-01,13.61,48.48,941.6981,23.9417,7.9274000000000004,1.7187000000000001,4.57,4.1768
2019-08-02,13.61,48.55,933.1246,23.6955,7.8631,1.7010999999999998,4.58,4.2202
2019-08-05,13.58,48.42,907.6737,22.9854,7.5938,1.6437,4.73,4.3506
2019-08-06,13.61,48.42,920.9623,23.3219,7.705,1.6677,4.67,4.2878
2019-08-07,13.59,48.42,923.8608,23.3953,7.7293,1.673,4.65,4.2744
2019-08-08,13.63,48.42,942.1818,23.8593,7.8825,1.7062,4.5600000000000005,4.1912
2019-08-09,13.59,48.41,933.0344,23.7252,7.8559,1.6964000000000001,4.59,4.2149
2019-08-12,12.96,48.41,920.0598,23.3979,7.7466,1.6729,4.66,4.2739
2019-08-13,12.99,48.41,935.463,23.7897,7.8763,1.7008999999999999,4.58,4.2035
2019-08-14,12.98,48.41,906.1035,22.9973,7.6291,1.6475,4.73,4.3483
2019-08-15,13.02,48.41,905.4241,23.0147,7.6234,1.6463,4.74,4.345
2019-08-16,13.02,48.41,915.3163,23.2779,7.7067,1.6642000000000001,4.6899999999999995,4.2959
2019-08-19,13.0,48.41,926.7206,23.5679,7.8027,1.685,4.63,4.2431
2019-08-20,12.61,48.41,926.0046,23.5497,7.7966999999999995,1.6837,4.63,4.2463
2019-08-21,12.62,48.41,942.9214,23.9799,7.9391,1.7144,4.55,4.1702
2019-08-22,12.58,48.41,942.3427,23.9652,7.9342,1.7134,4.55,4.1727
2019-08-23,12.57,48.41,916.377,23.3048,7.7156,1.6662,4.68,4.291
2019-08-26,12.55,48.59,925.716,23.5412,7.7943,1.6831,4.64,4.2479
2019-08-27,12.6,48.59,921.9393,23.4452,7.7625,1.6762000000000001,4.66,4.2653
2019-08-28,12.54,48.59,932.0225,23.7016,7.8474,1.6945000000000001,4.61,4.2191
2019-08-29,12.44,48.59,945.7676,24.0511,7.9631,1.7195,4.54,4.1578
2019-08-30,12.41,48.59,940.4687,23.9164,7.9185,1.7099,4.5600000000000005,4.1812
2019-09-02,12.38,48.69,940.4687,23.9164,7.9185,1.7099,4.5600000000000005,4.1812
2019-09-03,12.28,48.69,936.9807,23.7255,7.8563,1.7001,4.5600000000000005,4.2149
2019-09-04,12.26,48.69,945.054,23.9231,7.924,1.7147000000000001,4.52,4.1801
2019-09-05,12.25,48.69,963.0099,24.3777,8.0745,1.7473,4.43,4.1021
2019-09-06,12.22,48.69,965.0558,24.3228,8.0917,1.7506,4.41,4.1114
2019-09-09,12.18,48.68,967.9901,24.3968,8.1163,1.756,4.4,4.0989
2019-09-10,12.2,48.68,964.2858,24.3034,8.0852,1.7492,4.41,4.1146
2019-09-11,12.19,48.68,965.8273,24.3423,8.0981,1.752,4.41,4.1081
2019-09-12,12.26,48.69,970.8752,24.4695,8.1405,1.7612,4.38,4.0867
2019-09-13,12.25,48.69,969.05,24.4235,8.1252,1.7579,4.39,4.0944
2019-09-16,12.28,48.69,956.4037,24.1048,8.0191,1.7349,4.45,4.1486
2019-09-17,12.34,48.69,962.1636,24.2499,8.0674,1.7454,4.42,4.1237
2019-09-18,12.34,48.7,961.4977,24.2332,8.0618,1.7442,4.43,4.1266
2019-09-19,12.35,48.7,959.3556,24.1792,8.0439,1.7403,4.44,4.1358
2019-09-20,12.32,48.7,948.1559,23.8969,7.95,1.72,4.49,4.1846
2019-09-23,12.32,48.68,950.3533,24.0619,7.9965,1.7306,4.46,4.156
2019-09-24,12.22,48.68,939.0351,23.7753,7.9012,1.71,4.52,4.206
2019-09-25,12.23,48.68,948.1506,24.0061,7.9779,1.7266,4.47,4.1656
2019-09-26,12.2,48.62,942.8583,23.826,7.9218,1.7170999999999998,4.5,4.1971
2019-09-27,12.18,48.62,939.3572,23.7375,7.8924,1.7107,4.52,4.2127
2019-09-30,12.17,48.71,947.2741,24.1233,7.9425,1.7062,4.34,4.1454
2019-10-01,12.19,48.71,939.9573,23.937,7.8812,1.693,4.37,4.1776
2019-10-02,12.22,48.71,923.3001,23.5128,7.7415,1.663,4.45,4.253
2019-10-03,12.01,48.75,928.2513,23.5836,7.7857,1.6782,4.43,4.2402
2019-10-04,12.01,48.75,937.2246,23.8115,7.8609,1.6944,4.39,4.1996
2019-10-07,12.01,48.75,933.1166,23.7032,7.8288,1.6867999999999999,4.41,4.2188
2019-10-08,12.01,48.75,922.5186,23.434,7.7399000000000004,1.6677,4.46,4.2673
2019-10-09,12.01,48.75,930.7697,23.6436,7.8091,1.6825999999999999,4.42,4.2295
2019-10-10,11.96,48.75,935.7366,23.7698,7.8508,1.6915,4.39,4.207
2019-10-11,11.92,48.75,946.4761,24.0426,7.9409,1.7109999999999999,4.34,4.1593
2019-10-14,11.94,48.75,945.8776,24.0269,7.9359,1.7099,4.35,4.162
2019-10-15,12.87,48.75,954.9561,24.2575,8.0121,1.7263,4.31,4.1224
2019-10-16,12.89,48.75,958.8541,24.3565,8.0448,1.7332999999999998,4.29,4.1057
2019-10-17,12.84,48.75,961.8962,24.4432,8.0703,1.7388,4.28,4.0911
2019-10-18,12.8,48.75,958.7911,24.3633,8.0442,1.7332,4.29,4.1045
2019-10-21,12.85,48.75,963.2946,24.476,8.082,1.7414,4.27,4.0856
2019-10-22,12.86,48.75,956.367,24.3,8.0239,1.7288000000000001,4.3,4.1152
2019-10-23,13.08,48.75,952.2631,24.1957,7.9895,1.7214,4.32,4.133
2019-10-24,13.87,48.75,952.7767,24.2087,7.9938,1.7224,4.32,4.1307
2019-10-25,13.84,48.75,950.7589,24.1575,7.9768,1.7187000000000001,4.33,4.1395
2019-10-28,13.83,48.75,954.3318,24.2482,8.0068,1.7252,4.35,4.124
2019-10-29,13.79,48.75,948.692,24.1049,7.9595,1.7149999999999999,4.38,4.1485
2019-10-30,13.69,48.75,954.413,24.2503,8.0075,1.7252999999999998,4.31,4.1237
2019-10-31,13.77,48.77,950.0055,24.146,7.9804,1.7173,4.33,4.1415
2019-11-01,13.82,48.82,956.1702,24.2344,8.0371,1.7266,4.29,4.1264
2019-11-04,13.85,48.58,957.259,24.2757,8.0435,1.7221,4.29,4.1194
2019-11-05,13.36,48.58,958.6356,24.3106,8.0551,1.7245,4.28,4.1134
2019-11-06,13.33,48.58,959.1908,24.3247,8.0597,1.7255,4.28,4.1111
2019-11-07,13.35,48.57,953.7805,24.1869,8.0137,1.716,4.3,4.1345
2019-11-08,13.37,48.57,954.0438,24.1936,8.0159,1.7165,4.3,4.1333
2019-11-11,13.33,48.57,951.4551,24.1252,7.9940999999999995,1.7117,4.31,4.145
2019-11-12,14.22,48.57,950.7009,24.1061,7.9878,1.7104,4.32,4.1483
2019-11-13,14.17,48.57,947.0478,24.0135,7.9571,1.7038,4.33,4.1643
2019-11-14,14.14,48.57,950.3625,24.0975,7.9849,1.7098,4.32,4.1498
2019-11-15,13.89,48.57,951.7376,24.1324,7.9965,1.7122000000000002,4.31,4.1438
2019-11-18,13.89,48.57,954.9304,24.2134,8.0233,1.718,4.3,4.13
2019-11-19,13.86,48.57,945.6721,23.9786,7.9455,1.7013,4.34,4.1704
2019-11-20,13.88,48.57,943.0028,23.9109,7.9231,1.6965,4.35,4.1822
2019-11-21,13.6,48.57,938.0801,23.7861,7.8818,1.6877,4.38,4.2041
2019-11-22,13.59,48.57,944.1545,23.9401,7.9328,1.6985999999999999,4.35,4.1771
2019-11-25,13.61,48.69,952.538,24.1686,8.0078,1.7132,4.31,4.1376
2019-11-26,13.49,48.69,960.2447,24.3642,8.0726,1.7269999999999999,4.27,4.1044
2019-11-27,13.51,48.69,968.2137,24.5664,8.1396,1.7412999999999998,4.24,4.0706
2019-11-28,13.51,48.69,968.2137,24.5664,8.1396,1.7412999999999998,4.24,4.0706
2019-11-29,13.51,48.69,960.7933,24.3783,8.0772,1.728,4.28,4.102
2019-12-02,13.51,48.62,953.4808,24.1441,7.992,1.7128,4.28,4.1418
2019-12-03,13.48,48.62,943.8462,23.9001,7.9112,1.6955,4.32,4.1841
2019-12-04,13.44,48.62,947.6669,23.9968,7.9433,1.7023000000000001,4.3,4.1672
2019-12-05,13.49,48.62,945.5638,23.9436,7.9256,1.6985000000000001,4.31,4.1765
2019-12-06,13.52,48.62,953.2015,24.1329,7.9897,1.7123,4.28,4.1437
2019-12-09,13.34,48.62,953.8901,24.1517,7.9954,1.7135,4.28,4.1405
2019-12-10,13.33,48.62,951.8632,24.1004,7.9784,1.7099,4.28,4.1493
2019-12-11,13.28,48.62,954.6656,24.1713,8.0019,1.7149,4.59,4.1371
2019-12-12,13.26,48.62,963.0237,24.38,8.072,1.7299,4.55,4.1017
2019-12-13,13.24,48.62,963.4019,24.3896,8.0752,1.7306,4.25,4.1001
2019-12-16,13.2,48.62,967.5103,24.4671,8.1096,1.7379,4.23,4.0871
2019-12-17,13.22,48.62,972.839,24.6019,8.1543,1.7475,4.21,4.0647
2019-12-18,13.21,48.62,972.8073,24.6014,8.154,1.7475,4.21,4.0648
