ticker,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-05-22,7.35,28.41,339.86,16.5646,2.038,1.5716999999999999,5.38,6.037
2019-05-23,7.37,28.41,334.66,16.3111,2.0087,1.5476999999999999,5.47,6.1308
2019-05-24,7.4,28.41,336.33,16.3925,2.0181,1.5554000000000001,5.44,6.1003
2019-05-27,7.4,28.41,336.33,16.3925,2.0181,1.5554000000000001,5.44,6.1003
2019-05-28,7.38,28.41,333.24,16.2419,2.0001,1.5411000000000001,5.72,6.1569
2019-05-29,7.4,28.41,333.05,16.2327,1.9985,1.5402,5.73,6.1604
2019-05-30,7.45,28.41,333.44,16.2517,2.0016,1.542,5.72,6.1532
2019-05-31,7.47,28.41,329.32,16.0509,1.9798,1.5230000000000001,5.79,6.2302
2019-06-03,7.34,27.05,340.58,16.0999,1.8838,1.5276,5.77,6.2112
2019-06-04,7.33,27.05,349.98,16.4989,1.9342000000000001,1.5655000000000001,5.63,6.061
2019-06-05,7.49,27.05,352.72,16.6272,1.9493,1.5777,5.59,6.0143
2019-06-06,7.51,27.05,356.7,16.8435,1.9708999999999999,1.5981999999999998,5.52,5.937
2019-06-07,7.62,27.12,359.2,16.9925,1.9936,1.6073,5.48,5.8849
2019-06-10,7.63,27.12,359.72,17.0379,1.9959,1.6116000000000001,5.46,5.8693
2019-06-11,7.58,27.17,359.48,17.062,1.9989,1.6124,5.45,5.861
2019-06-12,7.57,27.46,360.6,17.2242,2.0398,1.6118999999999999,5.42,5.8058
2019-06-13,7.5600000000000005,27.46,362.68,17.3284,2.0514,1.6217000000000001,5.39,5.7709
2019-06-14,7.58,27.46,360.98,17.2405,2.0453,1.6134,5.41,5.8003
2019-06-17,7.55,27.46,357.59,17.0589,2.0293,1.5964,5.47,5.862
2019-06-18,7.51,27.46,360.33,17.1669,2.0451,1.6065,5.44,5.8252
2019-06-19,7.16,27.46,358.65,17.0873,2.0377,1.5991,5.46,5.8523
2019-06-20,7.2,27.46,362.98,17.2999,2.0627,1.619,5.39,5.7804
2019-06-21,7.18,27.46,361.81,17.2414,2.0571,1.6135000000000002,5.41,5.8
2019-06-24,7.19,27.47,363.43,17.2982,2.0645,1.6179000000000001,5.39,5.781
2019-06-25,7.18,27.47,363.43,17.3049,2.0643,1.6186,5.39,5.7787
2019-06-26,7.14,27.47,362.76,17.2406,2.0584,1.6125,5.41,5.8003
2019-06-27,7.16,27.47,364.02,17.2963,2.0649,1.6178,5.39,5.7816
2019-06-28,7.16,27.47,367.14,17.4496,2.0875,1.6320999999999999,5.35,5.7308
2019-07-01,7.14,28.24,369.66,18.555,2.3954,1.706,4.21,5.3894
2019-07-02,7.15,28.24,369.15,18.543,2.3921,1.7048999999999999,4.21,5.3929
2019-07-03,7.14,28.24,371.02,18.6439,2.4042,1.7142,4.19,5.3637
2019-07-04,7.14,28.24,371.02,18.6439,2.4042,1.7142,4.19,5.3637
2019-07-05,7.13,28.24,369.06,18.5456,2.3915,1.7050999999999998,4.21,5.3921
2019-07-08,7.14,28.24,365.16,18.3615,2.3663,1.6882000000000001,4.25,5.4462
2019-07-09,7.11,28.24,361.46,18.1858,2.3423,1.6720000000000002,4.29,5.4988
2019-07-10,7.12,28.24,360.78,18.1608,2.3379,1.6697,4.3,5.5064
2019-07-11,7.14,28.24,362.33,18.2426,2.3479,1.6773,4.28,5.4817
2019-07-12,7.12,28.24,366.04,18.4107,2.372,1.6926999999999999,4.24,5.4315999999999995
2019-07-15,6.96,28.24,366.68,18.4338,2.3761,1.6947999999999999,4.23,5.4248
2019-07-16,6.95,28.24,367.37,18.4742,2.3806,1.6985999999999999,4.23,5.4129
2019-07-17,6.96,28.24,364.12,18.3261,2.3595,1.6848999999999998,4.26,5.4567
2019-07-18,5.66,28.24,365.68,18.4118,2.3696,1.6928,4.24,5.4313
2019-07-19,5.54,28.24,366.59,18.4436,2.3755,1.6957,4.23,5.4219
2019-07-22,5.55,28.21,365.66,18.4637,2.3678,1.6965,4.22,5.416
2019-07-23,5.62,28.2,372.92,18.8537,2.4148,1.7308,3.88,5.304
2019-07-24,5.65,28.2,372.84,18.8453,2.4143,1.7301,3.88,5.3064
2019-07-25,5.63,28.2,369.95,18.7009,2.3956,1.7168,3.91,5.3473
2019-07-26,5.0,28.2,370.11,18.6996,2.3966,1.7167,3.91,5.3477
2019-07-29,5.04,28.2,368.87,18.6062,2.3886,1.7102,3.92,5.3746
2019-07-30,5.04,28.2,371.05,18.7124,2.4027,1.7199,3.9,5.3441
2019-07-31,5.05,28.2,365.54,18.4176,2.367,1.6928,3.96,5.4296
2019-08-01,5.05,28.2,363.47,18.273,2.3536,1.6795,4.0,5.4725
2019-08-02,5.21,28.2,359.06,18.0359,2.3251,1.658,4.05,5.5445
2019-08-05,5.36,28.2,352.51,17.7276,2.2826,1.6297000000000001,4.12,5.6409
2019-08-06,5.33,28.2,352.8,17.7395,2.2845,1.6308,4.12,5.6371
2019-08-07,5.36,28.2,357.46,17.9698,2.3147,1.6519,4.06,5.5649
2019-08-08,5.35,28.2,364.21,18.3009,2.3584,1.6824,3.99,5.4642
2019-08-09,5.37,28.2,361.64,18.1687,2.3418,1.67,4.02,5.504
2019-08-12,5.4,28.2,355.78,17.9056,2.3038,1.6459000000000001,4.08,5.5849
2019-08-13,5.39,28.2,359.97,18.1244,2.3309,1.666,4.03,5.5174
2019-08-14,5.4,28.2,348.25,17.5405,2.2551,1.6122999999999998,4.16,5.7011
2019-08-15,5.25,28.2,348.22,17.5373,2.2549,1.612,4.16,5.7021
2019-08-16,5.2,28.2,354.34,17.8711,2.2945,1.638,3.99,5.5956
2019-08-19,5.16,28.2,357.08,18.1788,2.3122,1.6505,3.96,5.5009
2019-08-20,5.19,28.2,352.74,17.9566,2.2841,1.6303,4.01,5.569
2019-08-21,5.2,28.2,354.6,18.0478,2.2962,1.6385999999999998,3.99,5.5408
2019-08-22,5.24,28.2,352.12,17.9232,2.2801,1.6273,4.01,5.5793
2019-08-23,5.27,28.2,343.54,17.9859,2.2246,1.65,4.1,5.5599
2019-08-26,5.26,28.2,344.55,18.0413,2.2311,1.655,4.09,5.5428
2019-08-27,5.28,28.2,344.88,18.0655,2.2332,1.6573,4.08,5.5354
2019-08-28,5.25,28.2,347.86,18.2175,2.2525,1.6712,4.05,5.4892
2019-08-29,5.22,28.2,351.92,18.4257,2.2788,1.6903000000000001,4.0,5.4272
2019-08-30,5.22,28.2,354.28,18.5622,2.2941,1.7027999999999999,3.9699999999999998,5.3873
2019-09-02,5.22,28.2,354.28,18.5622,2.2941,1.7027999999999999,3.9699999999999998,5.3873
2019-09-03,5.23,28.2,351.16,18.4169,2.2739,1.6895,4.0,5.4298
2019-09-04,5.21,28.2,354.95,18.618,2.2984,1.7079,3.96,5.3712
2019-09-05,5.13,28.2,355.68,18.6569,2.3032,1.7115,3.95,5.36
2019-09-06,5.17,28.2,357.38,18.7505,2.3142,1.7201,3.93,5.3332
2019-09-09,5.1,28.2,355.58,18.6451,2.3025,1.7104,3.95,5.3633
2019-09-10,5.04,28.2,359.08,18.839,2.3252,1.7282,3.91,5.3081
2019-09-11,5.04,28.2,362.54,19.011,2.3476,1.744,3.88,5.2600999999999996
2019-09-12,5.05,28.2,365.16,19.1392,2.3646,1.7558,3.85,5.2249
2019-09-13,5.06,28.2,369.31,19.3594,2.3914,1.776,3.81,5.1655
2019-09-16,5.03,28.2,363.3,19.2937,2.3525,1.7475,3.88,5.183
2019-09-17,5.06,28.2,365.87,19.4441,2.3692,1.7610999999999999,3.85,5.143
2019-09-18,5.08,28.2,366.17,19.4568,2.3711,1.7623,3.84,5.1396
2019-09-19,5.09,28.2,366.72,19.4872,2.3747,1.7650000000000001,3.84,5.1316
2019-09-20,5.08,28.2,366.12,19.4591,2.3708,1.7625,3.84,5.139
2019-09-23,5.08,28.18,365.23,20.6884,2.3632,1.7541,3.57,4.8336
2019-09-24,5.14,28.18,361.71,20.489,2.3405,1.7372,3.6,4.8807
2019-09-25,5.11,28.18,363.73,20.6034,2.3535,1.7469000000000001,3.58,4.8536
2019-09-26,5.16,28.18,362.97,20.5604,2.3486000000000002,1.7431999999999999,3.59,4.8637
2019-09-27,5.14,28.18,362.03,20.5071,2.3425000000000002,1.7387000000000001,3.6,4.8764
2019-09-30,5.12,28.51,364.66,20.4941,2.3919,1.7675,3.98,4.8795
2019-10-01,5.11,28.51,356.28,20.0231,2.3369,1.7269,4.08,4.9942
2019-10-02,5.12,28.51,349.6,19.6477,2.2931,1.6945000000000001,4.16,5.0897
2019-10-03,5.11,28.51,351.1,19.732,2.3029,1.7018,4.14,5.0679
2019-10-04,5.48,28.51,352.92,19.8343,2.3148,1.7106,4.12,5.0418
2019-10-07,5.5,28.51,351.82,19.7724,2.3076,1.7053,4.13,5.0575
2019-10-08,5.51,28.51,345.75,19.4313,2.2678,1.6759,4.2,5.1463
2019-10-09,5.52,28.51,349.29,19.6303,2.291,1.693,4.16,5.0942
2019-10-10,5.49,28.51,352.72,19.823,2.3135,1.7097,4.12,5.0446
2019-10-11,5.43,28.51,359.46,20.2018,2.3577,1.7423,4.04,4.9501
2019-10-14,11.62,28.51,356.78,20.0512,2.3402,1.7292999999999998,4.07,4.9872
2019-10-15,11.28,28.51,359.19,20.1866,2.356,1.741,4.04,4.9538
2019-10-16,11.45,28.51,360.28,20.2479,2.3631,1.7463,4.03,4.9388
2019-10-17,11.57,28.51,360.97,20.2867,2.3676,1.7497,4.02,4.9293
2019-10-18,11.6,28.51,360.6,20.2659,2.3652,1.7479,4.03,4.9344
2019-10-21,11.41,28.51,359.34,20.1951,2.357,1.7418,4.04,4.9517
2019-10-22,12.05,28.51,357.88,20.113,2.3474,1.7347000000000001,4.06,4.9719
2019-10-23,12.14,28.51,360.24,20.2422,2.3629,1.7969,3.85,4.9402
2019-10-24,12.17,28.51,361.56,20.3163,2.3715,1.8035,3.84,4.9222
2019-10-25,12.25,28.51,365.33,20.5282,2.3962,1.8223,3.8,4.8713999999999995
2019-10-28,12.23,28.51,366.38,20.5873,2.4031000000000002,1.8275000000000001,3.79,4.8574
2019-10-29,12.3,28.51,368.83,20.725,2.4192,1.8397000000000001,3.76,4.8251
2019-10-30,12.26,28.51,368.78,20.7221,2.4189,1.8395000000000001,3.76,4.8258
2019-10-31,11.96,28.51,364.73,20.4946,2.3923,1.8193000000000001,3.81,4.8793
2019-11-01,12.13,28.51,370.03,20.7924,2.4271,1.8457,3.75,4.8095
2019-11-04,12.49,28.51,372.93,20.9553,2.4461,1.8601999999999999,3.7199999999999998,4.7721
2019-11-05,11.84,28.51,373.87,20.2452,2.4523,1.8679000000000001,3.71,4.9394
2019-11-06,11.9,28.51,373.53,20.2268,2.45,1.8662,3.7199999999999998,4.9439
2019-11-07,12.27,28.51,375.94,20.3573,2.4657999999999998,1.8782,3.69,4.9122
2019-11-08,12.54,28.51,377.42,20.4374,2.4755,1.8856000000000002,3.68,4.893
2019-11-11,12.44,28.51,376.99,20.4141,2.4727,1.8835,3.68,4.8986
2019-11-12,11.67,28.51,378.56,20.4992,2.483,1.8913,3.67,4.8783
2019-11-13,13.74,28.51,376.75,20.4011,2.4711,1.8822999999999999,3.68,4.9017
2019-11-14,13.81,28.51,378.6,20.5013,2.4833,1.8915,3.67,4.8777
2019-11-15,14.23,28.51,378.32,20.4862,2.4814,1.8901,3.67,4.8812999999999995
2019-11-18,13.89,28.51,377.47,20.4401,2.4759,1.8859,3.68,4.8923
2019-11-19,11.79,28.51,376.26,20.3746,2.4679,1.8798,3.69,4.9081
2019-11-20,11.76,28.51,371.81,20.1336,2.4387,1.8576000000000001,3.73,4.9668
2019-11-21,12.02,28.51,371.36,20.1093,2.4358,1.8553,3.74,4.9728
2019-11-22,12.0,28.51,371.93,20.1401,2.4395,1.8582,3.73,4.9652
2019-11-25,12.16,28.51,374.25,20.2658,2.4548,1.8698000000000001,3.71,4.9344
2019-11-26,11.45,28.51,376.2,20.3714,2.4675000000000002,1.8795,3.69,4.9089
2019-11-27,11.14,28.51,376.96,20.4125,2.4725,1.8833,3.68,4.899
2019-11-28,11.14,28.51,376.96,20.4125,2.4725,1.8833,3.68,4.899
2019-11-29,10.95,28.51,375.24,20.3194,2.4612,1.8747,3.7,4.9214
2019-12-02,11.74,28.51,371.7,20.1277,2.438,1.857,3.73,4.9683
2019-12-03,11.62,28.51,369.22,19.9934,2.4218,1.8447,3.76,5.0017
2019-12-04,11.68,28.51,369.07,19.9853,2.4208,1.8439,3.76,5.0037
2019-12-05,11.53,28.51,371.5,20.1169,2.4367,1.8559999999999999,3.74,4.971
2019-12-06,11.62,28.51,375.29,20.3221,2.4616,1.875,3.7,4.9208
2019-12-09,11.7,28.51,374.82,20.2966,2.4585,1.8726,3.7,4.9269
2019-12-10,11.75,28.51,372.62,20.1775,2.4441,1.8616000000000001,3.7199999999999998,4.9559999999999995
2019-12-11,11.76,28.51,375.27,20.321,2.4614,1.8749,3.7,4.921
2019-12-12,12.0,28.51,380.66,20.6129,2.4968,1.9018000000000002,3.65,4.8513
2019-12-13,11.99,28.51,377.56,20.445,2.4765,1.8862999999999999,3.68,4.8911999999999995
2019-12-16,6.57,28.51,379.33,20.5408,2.4881,1.8952,3.66,4.8683
2019-12-17,6.6,28.51,380.02,20.5782,2.4926,1.8986,3.65,4.8595
2019-12-18,6.59,28.51,379.11,20.5289,2.4866,1.8941,3.66,4.8712
2019-12-19,6.6,28.51,380.36,20.5966,2.4948,1.9003,3.65,4.8552
2019-12-20,6.62,28.51,382.07,20.6892,2.5060000000000002,1.9089,3.63,4.8334
2019-12-23,3.91,28.51,383.65,20.784,2.5171,1.9167,3.62,4.8114
2019-12-24,3.93,28.51,383.91,20.7981,2.5188,1.9180000000000001,3.61,4.8081
2019-12-25,3.93,28.51,383.91,20.7981,2.5188,1.9180000000000001,3.61,4.8081
2019-12-26,3.94,28.51,385.48,20.8831,2.5291,1.9259,3.6,4.7886
2019-12-27,3.93,28.51,384.5,20.83,2.5227,1.921,3.61,4.8008
2019-12-30,3.9699999999999998,28.49,382.97,20.7316,2.5113,1.913,3.63,4.8236
2019-12-31,3.93,27.96,385.85,22.0014,2.5411,1.9391,3.63,4.5452
2020-01-01,3.93,27.96,385.85,22.0014,2.5411,1.9391,3.63,4.5452
