ticker,XLV US Equity,XLV US Equity,XLV US Equity,XLV US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-06-20,93.68,1.4362,9241301.0,87.591
2019-06-21,93.73,2.5069,9026071.0,87.591
2019-06-23,93.73,2.5069,9026071.0,87.166
2019-06-24,93.24,2.454,6493610.0,87.166
2019-06-25,92.86,1.8977,14930608.0,87.166
2019-06-26,91.69,1.9243999999999999,10498431.0,87.166
2019-06-27,92.33,1.8048,7416201.0,87.166
2019-06-28,92.64,1.7671000000000001,9390623.0,87.166
2019-06-30,92.64,1.7671000000000001,9390623.0,86.768
2019-07-01,93.1,1.7968,7833409.0,86.768
2019-07-02,93.6,1.5913,7952577.0,86.768
2019-07-03,94.4,1.6107,4066048.0,86.768
2019-07-05,93.75,1.6273,5934272.0,86.768
2019-07-07,93.75,1.6273,5934272.0,88.927
2019-07-08,93.05,1.8133,15201990.0,88.927
2019-07-09,93.14,1.7387000000000001,5537339.0,88.927
2019-07-10,93.46,1.7484,5347279.0,88.927
2019-07-11,93.48,1.7309999999999999,13691693.0,88.927
2019-07-12,92.44,1.7909000000000002,11508183.0,88.927
2019-07-14,92.44,1.7909000000000002,11508183.0,88.971
2019-07-15,92.64,1.7891,5811267.0,88.971
2019-07-16,92.18,1.8186,9092557.0,88.971
2019-07-17,92.2,1.8152,9567035.0,88.971
2019-07-18,92.72,1.778,6561567.0,88.971
2019-07-19,91.76,1.8068,8105933.0,88.971
2019-07-21,91.76,1.8068,8105933.0,87.005
2019-07-22,91.57,1.7661,5192693.0,87.005
2019-07-23,92.14,1.8031000000000001,6688591.0,87.005
2019-07-24,92.19,1.7264,5430541.0,87.005
2019-07-25,91.74,1.697,6618662.0,87.005
2019-07-26,92.07,1.6928,3812448.0,87.005
2019-07-28,92.07,1.6928,3812448.0,87.263
2019-07-29,92.45,1.6573,5887534.0,87.263
2019-07-30,92.05,1.5028000000000001,7959161.0,87.263
2019-07-31,91.14,1.5149,8557587.0,87.263
2019-08-01,91.26,1.517,16422522.0,87.263
2019-08-02,91.05,1.6054,15956788.0,87.263
2019-08-04,91.05,1.6054,15956788.0,85.258
2019-08-05,88.91,1.6071,17626233.0,85.258
2019-08-06,90.06,1.6148,10135861.0,85.258
2019-08-07,90.09,1.4748999999999999,12452460.0,85.258
2019-08-08,91.29,1.4928,12034822.0,85.258
2019-08-09,91.4,1.4617,7253064.0,85.258
2019-08-11,91.4,1.4617,7253064.0,85.427
2019-08-12,90.51,1.7184,7097095.0,85.427
2019-08-13,91.69,1.4892,12260613.0,85.427
2019-08-14,89.14,1.4626000000000001,16426117.0,85.427
2019-08-15,89.45,1.4948000000000001,12320668.0,85.427
2019-08-16,90.55,1.4822,10252416.0,85.427
2019-08-18,90.55,1.4822,10252416.0,78.886
2019-08-19,91.42,1.4501,6427436.0,78.886
2019-08-20,90.64,1.4496,4709026.0,78.886
2019-08-21,91.31,1.4554,5687080.0,78.886
2019-08-22,90.86,1.4112,6486943.0,78.886
2019-08-23,88.76,1.3942999999999999,9822737.0,78.886
2019-08-25,88.76,1.3942999999999999,9822737.0,77.7
2019-08-26,89.69,1.4896,8915621.0,77.7
2019-08-27,89.16,1.4874,8251963.0,77.7
2019-08-28,89.81,1.4918,5691503.0,77.7
2019-08-29,90.49,1.5266,4360327.0,77.7
2019-08-30,90.6,1.4978,4784137.0,77.7
2019-09-01,90.6,1.4978,4784137.0,79.762
2019-09-03,90.07,1.5428,6437819.0,79.762
2019-09-04,90.13,1.5346,9319313.0,79.762
2019-09-05,91.02,1.5957,7897420.0,79.762
2019-09-06,91.27,1.6094,13166442.0,79.762
2019-09-08,91.27,1.6094,13166442.0,80.874
2019-09-09,90.43,1.6059999999999999,10675897.0,80.874
2019-09-10,90.69,1.6146,8770748.0,80.874
2019-09-11,91.59,1.6169,8124290.0,80.874
2019-09-12,91.56,1.611,9344700.0,80.874
2019-09-13,91.51,1.7053,6350964.0,80.874
2019-09-15,91.51,1.7053,6350964.0,79.432
2019-09-16,91.31,1.7046999999999999,6668085.0,79.432
2019-09-17,91.45,1.6229,3963154.0,79.432
2019-09-18,91.44,1.6245,5397831.0,79.432
2019-09-19,91.87,1.63,5084444.0,79.432
2019-09-20,92.0,1.8518,9000207.0,79.432
2019-09-22,92.0,1.8518,9000207.0,78.842
2019-09-23,91.51,1.8625,4329101.0,78.842
2019-09-24,90.67,1.6604,10615767.0,78.842
2019-09-25,90.23,1.6853,8131900.0,78.842
2019-09-26,89.73,1.657,10183821.0,78.842
2019-09-27,89.33,1.8037,10017318.0,78.842
2019-09-29,89.33,1.8037,10017318.0,79.847
2019-09-30,90.13,1.8317999999999999,8306829.0,79.847
2019-10-01,89.25,1.9333,13618966.0,79.847
2019-10-02,87.95,1.8780999999999999,13505857.0,79.847
2019-10-03,88.74,1.8293,12830412.0,79.847
2019-10-04,90.13,1.8124,9313631.0,79.847
2019-10-06,90.13,1.8124,9313631.0,79.528
2019-10-07,89.83,1.6694,8343461.0,79.528
2019-10-08,88.12,1.7132,10688156.0,79.528
2019-10-09,88.76,0.7538,7355855.0,79.528
2019-10-10,89.2,0.7628,8236079.0,79.528
2019-10-11,89.94,0.7611,10825812.0,79.528
2019-10-13,89.94,0.7611,10825812.0,78.397
2019-10-14,89.9,0.7808,5919186.0,78.397
2019-10-15,91.54,0.7777,12622404.0,78.397
2019-10-16,91.42,1.1506,7856921.0,78.397
2019-10-17,92.1,1.1569,7537106.0,78.397
2019-10-18,91.76,1.5107,6784975.0,78.397
2019-10-20,91.76,1.5107,6784975.0,78.146
2019-10-21,91.66,1.8286,4952132.0,78.146
2019-10-22,91.86,1.5963,8746301.0,78.146
2019-10-23,92.43,1.6055000000000001,5549276.0,78.146
2019-10-24,91.96,1.6042,6984395.0,78.146
2019-10-25,92.06,1.6284,5536898.0,78.146
2019-10-27,92.06,1.6284,5536898.0,78.325
2019-10-28,93.01,2.1429,6937897.0,78.325
