ticker,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-04-22,38.71,19.47,452.49,13.1822,1.4262000000000001,2.2879,5.88,7.586
2019-04-23,38.88,19.47,455.13,13.2969,1.4344999999999999,2.3013,5.22,7.5206
2019-04-24,38.94,19.47,454.49,13.278,1.4325,2.298,5.23,7.5313
2019-04-25,39.51,19.47,455.67,13.3431,1.4362,2.304,5.84,7.4945
2019-04-26,40.43,19.47,459.96,13.4688,1.4497,2.3257,5.79,7.4246
2019-04-29,41.14,19.47,464.22,13.5935,1.4631,2.3472,5.73,7.3564
2019-04-30,40.95,19.47,464.95,13.615,1.4654,2.3509,5.72,7.3449
2019-05-01,41.78,19.47,460.97,13.4984,1.4529,2.3308,5.77,7.4083
2019-05-02,39.87,19.47,461.7,13.5198,1.4552,2.3345000000000002,5.76,7.3966
2019-05-03,41.41,19.47,465.52,13.6316,1.4672,2.3538,5.73,7.3359
2019-05-06,36.48,19.47,462.42,13.5409,1.4575,2.3381,5.75,7.385
2019-05-07,36.38,19.47,454.6,13.3121,1.4328,2.2986,5.85,7.5119
2019-05-08,36.74,19.47,453.3,13.2741,1.4287,2.292,5.87,7.5335
2019-05-09,36.39,19.47,452.67,13.2558,1.4267,2.2889,5.88,7.5438
2019-05-10,35.98,19.47,455.03,13.3246,1.4342,2.3008,5.85,7.5049
2019-05-13,37.15,19.47,441.95,12.9421,1.3929,2.2347,5.71,7.7267
2019-05-14,35.3,19.47,445.47,13.0453,1.404,2.2525,5.65,7.6655999999999995
2019-05-15,34.18,19.47,443.33,12.9825,1.3973,2.2417,5.68,7.7027
2019-05-16,33.84,19.47,448.19,13.1251,1.4126,2.2663,5.62,7.619
2019-05-17,33.72,19.47,445.52,13.0472,1.4042,2.2529,5.65,7.6645
2019-05-20,33.21,19.47,446.13,13.0651,1.4061,2.2560000000000002,5.64,7.654
2019-05-21,32.73,19.47,449.95,13.1768,1.4182000000000001,2.2753,5.6,7.5891
2019-05-22,31.98,19.47,447.7,13.111,1.4111,2.2639,5.63,7.6272
2019-05-23,32.87,19.47,441.03,12.9157,1.3900000000000001,2.2302,5.74,7.7425
2019-05-24,32.28,19.47,444.42,13.015,1.4007,2.2473,5.7,7.6835
2019-05-27,32.28,19.47,444.42,13.015,1.4007,2.2473,5.7,7.6835
2019-05-28,32.44,19.47,439.55,12.8721,1.3854,2.2226,6.04,7.7687
2019-05-29,31.92,19.47,439.07,12.8581,1.3839000000000001,2.2202,6.05,7.7772
2019-05-30,32.29,19.47,437.11,12.800699999999999,1.3777,2.2103,6.08,7.812
2019-05-31,32.6,19.47,430.65,12.6118,1.3572,2.1777,6.17,7.9291
2019-06-03,32.45,19.47,433.6,12.6981,1.3665,2.1926,6.16,7.8751999999999995
2019-06-04,31.31,19.47,445.34,13.0413,1.4035,2.2519,6.0,7.6679
2019-06-05,31.58,19.47,447.87,13.1159,1.4115,2.2648,5.96,7.6244
2019-06-06,32.87,19.47,449.52,13.1637,1.4167,2.2732,5.91,7.5966000000000005
2019-06-07,8.85,19.47,448.64,13.138,1.4139,2.2687,5.92,7.6115
2019-06-10,8.85,19.47,452.62,13.2463,1.4264999999999999,2.2889,5.87,7.5493
2019-06-11,8.83,19.47,452.63,13.2465,1.4264999999999999,2.2889,5.87,7.5492
2019-06-12,8.83,19.46,448.34,13.1209,1.413,2.2673,5.93,7.6213999999999995
2019-06-13,8.27,19.46,449.39,13.1515,1.4157,2.2725,5.93,7.6037
2019-06-14,8.25,19.47,450.55,13.1857,1.4196,2.2784,5.91,7.584
2019-06-17,8.3,19.42,446.34,13.0668,1.4061,2.2571,6.6899999999999995,7.6530000000000005
2019-06-18,8.3,19.41,452.2,13.2382,1.4245999999999999,2.2871,6.61,7.5539
2019-06-19,8.32,19.41,451.26,13.2096,1.4216,2.2823,6.63,7.5703
2019-06-20,8.33,19.41,453.5,13.275,1.4287,2.2936,6.58,7.533
2019-06-21,8.33,19.41,452.28,13.2379,1.4248,2.2874,6.6,7.5541
2019-06-24,8.35,19.39,450.77,13.2105,1.4216,2.2788,6.62,7.5698
2019-06-25,8.36,19.43,449.17,13.1606,1.4165,2.2707,5.95,7.5984
2019-06-26,8.35,19.43,448.44,13.139,1.4142000000000001,2.2669,5.95,7.6109
2019-06-27,8.37,19.43,452.57,13.26,1.4273,2.2878,5.9,7.5415
2019-06-28,8.35,19.43,458.92,13.446,1.4473,2.3199,5.82,7.4372
2019-07-01,8.32,19.21,464.14,13.2076,1.4109,2.3101,4.35,7.5714
2019-07-02,8.33,19.21,463.29,13.1836,1.4083,2.306,4.36,7.5852
2019-07-03,8.34,19.21,466.05,13.261,1.4167,2.3195,4.33,7.5409
2019-07-04,8.34,19.21,466.05,13.261,1.4167,2.3195,4.33,7.5409
2019-07-05,8.33,19.21,467.83,13.311,1.4221,2.3282,4.31,7.5126
2019-07-08,8.34,19.21,464.87,13.2258,1.4131,2.3135,4.34,7.561
2019-07-09,8.33,19.21,466.49,13.2808,1.418,2.3215,4.33,7.5297
2019-07-10,8.33,19.21,464.34,13.2192,1.4115,2.3108,4.35,7.5647
2019-07-11,8.17,19.21,467.11,13.2987,1.4199,2.3247,4.32,7.5195
2019-07-12,8.03,19.21,469.97,13.3798,1.4285999999999999,2.3388999999999998,4.29,7.4739
2019-07-15,8.01,19.21,467.48,13.3088,1.421,2.3264,4.32,7.5138
2019-07-16,7.13,19.21,466.27,13.2744,1.4174,2.3204000000000002,4.33,7.5333
2019-07-17,7.16,19.21,462.15,13.1573,1.4048,2.3,4.36,7.6004000000000005
2019-07-18,7.08,19.21,465.94,13.2652,1.4163999999999999,2.3188,4.33,7.5385
2019-07-19,7.14,19.21,463.68,13.2009,1.4095,2.3076,4.35,7.5753
2019-07-22,7.14,19.21,464.65,13.2288,1.4123999999999999,2.3125,4.37,7.5593
2019-07-23,7.09,19.21,469.93,13.379,1.4285,2.3387000000000002,4.32,7.4744
2019-07-24,7.14,19.21,474.23,13.5011,1.4416,2.3601,4.28,7.4068
2019-07-25,7.14,17.26,471.42,14.1488,1.5192,2.2829,5.05,7.0677
2019-07-26,7.14,19.21,476.09,13.5519,1.4472,2.3693,4.26,7.379
2019-07-29,7.06,19.21,472.36,13.4459,1.4359,2.3508,4.29,7.4372
2019-07-30,7.0,19.21,471.49,13.4209,1.4332,2.3464,4.34,7.4511
2019-07-31,6.98,19.21,469.45,13.3629,1.427,2.3363,4.36,7.4834
2019-08-01,7.0,19.21,458.55,13.0529,1.3939,2.2821,4.46,7.6611
2019-08-02,7.01,19.21,457.56,13.0251,1.3909,2.2772,4.47,7.6775
2019-08-05,7.01,19.21,442.67,12.6015,1.3456000000000001,2.2032,4.62,7.9356
2019-08-06,7.04,19.21,449.34,12.7911,1.3659,2.2363,4.55,7.8179
2019-08-07,7.06,19.21,443.89,12.6359,1.3493,2.2092,4.61,7.914
2019-08-08,7.06,19.21,451.27,12.846,1.3718,2.2459,4.53,7.7844999999999995
2019-08-09,7.09,19.21,449.93,12.8082,1.3677000000000001,2.2393,4.55,7.8075
2019-08-12,7.1,19.21,441.49,12.5681,1.342,2.1973,4.63,7.9566
2019-08-13,7.09,19.21,446.72,12.7172,1.3578999999999999,2.2234,4.58,7.8634
2019-08-14,7.11,19.21,430.82,12.2648,1.3096,2.1443,4.75,8.1534
2019-08-15,7.12,19.21,432.16,12.303,1.3136999999999999,2.151,4.73,8.1281
2019-08-16,6.28,19.21,440.19,12.5315,1.3381,2.1909,4.65,7.9799
2019-08-19,6.28,19.21,444.53,12.6549,1.3513,2.2125,4.6,7.9021
2019-08-20,6.28,19.21,438.32,12.4782,1.3324,2.1816,4.67,8.014
2019-08-21,6.27,19.21,440.32,12.5349,1.3385,2.1915,4.65,7.9777000000000005
2019-08-22,6.27,19.21,443.07,12.613199999999999,1.3468,2.2052,4.62,7.9282
2019-08-23,6.27,19.21,431.84,12.2939,1.3127,2.1494,4.74,8.1341
2019-08-26,6.28,19.21,436.5,12.4266,1.3269,2.1726,4.6899999999999995,8.0473
2019-08-27,6.29,19.21,433.46,12.3401,1.3176,2.1575,4.72,8.1036
2019-08-28,6.29,19.21,437.42,12.4529,1.3296999999999999,2.1772,4.68,8.0303
2019-08-29,6.28,19.21,443.89,12.6369,1.3493,2.2093,4.61,7.9134
2019-08-30,6.28,19.21,445.65,12.687100000000001,1.3547,2.2181,4.59,7.882
2019-09-02,6.28,19.21,445.65,12.687100000000001,1.3547,2.2181,4.59,7.882
2019-09-03,6.28,19.21,440.72,12.5467,1.3397999999999999,2.1936,4.64,7.9702
2019-09-04,6.25,19.21,445.49,12.6825,1.3543,2.2173,4.59,7.8849
2019-09-05,6.19,19.21,453.94,12.923,1.38,2.2594,4.51,7.7381
2019-09-06,6.19,19.21,454.01,12.924900000000001,1.3801999999999999,2.2597,4.51,7.737
2019-09-09,6.17,19.21,460.99,13.1235,1.4014,2.2944,4.44,7.6199
2019-09-10,6.15,19.21,462.85,13.1763,1.407,2.3037,4.42,7.5894
2019-09-11,6.15,19.21,465.6,13.2543,1.4154,2.3173,4.39,7.5447
2019-09-12,6.15,19.21,467.76,13.3157,1.422,2.328,4.37,7.5099
2019-09-13,6.16,19.21,471.68,13.4275,1.4339,2.3476,4.34,7.4474
2019-09-16,6.17,19.21,469.39,13.3623,1.4269,2.3362,4.36,7.4837
2019-09-17,6.21,19.21,469.84,13.3756,1.4283000000000001,2.3385,4.35,7.4763
2019-09-18,6.19,19.21,471.88,13.4338,1.4344999999999999,2.3487,4.34,7.4439
2019-09-19,6.2,19.21,469.98,13.3797,1.4287,2.3392,4.35,7.474
2019-09-20,6.17,19.21,466.96,13.2938,1.4195,2.3242,4.38,7.5222999999999995
2019-09-23,6.19,19.21,467.76,13.3861,1.4273,2.3356,4.39,7.4704
2019-09-24,6.2,19.21,463.36,13.26,1.4139,2.3136,4.44,7.5415
2019-09-25,6.2,19.21,466.75,13.3574,1.4242,2.3306,4.4,7.4865
2019-09-26,6.21,19.21,464.93,13.3053,1.4218,2.3215,4.42,7.5158000000000005
2019-09-27,6.22,19.21,466.03,13.3367,1.4251,2.327,4.41,7.4981
2019-09-30,6.21,19.18,465.54,13.2287,1.3862999999999999,2.2833,3.34,7.5593
2019-10-01,6.22,19.18,455.86,12.9536,1.3574,2.2358000000000002,3.41,7.7199
2019-10-02,6.23,19.18,446.3,12.6819,1.329,2.1889,3.48,7.8852
2019-10-03,6.24,19.18,447.03,12.7027,1.3311,2.1925,3.4699999999999998,7.8723
2019-10-04,6.24,19.18,455.67,12.9482,1.3569,2.2349,3.41,7.7231
2019-10-07,6.24,19.18,453.65,12.8908,1.3509,2.225,3.42,7.7575
2019-10-08,7.0,19.18,444.47,12.6299,1.3235000000000001,2.18,3.49,7.9177
2019-10-09,7.0,19.18,448.9,12.7558,1.3367,2.2016999999999998,3.46,7.8396
2019-10-10,7.0,19.18,453.5,12.8865,1.3504,2.2242,3.43,7.76
2019-10-11,6.83,19.18,459.31,13.0516,1.3677000000000001,2.2527,3.38,7.6619
2019-10-14,6.74,19.18,459.86,13.0673,1.3693,2.2554,3.38,7.6527
2019-10-15,7.9,19.18,465.98,13.2412,1.3876,2.2855,3.33,7.5522
2019-10-16,7.83,19.18,464.84,13.2088,1.3841999999999999,2.2799,3.34,7.5707
2019-10-17,7.63,19.18,465.37,13.2238,1.3858,2.2824999999999998,3.34,7.5621
2019-10-18,8.15,19.18,466.45,13.2545,1.389,2.2878,3.33,7.5446
2019-10-21,8.22,19.18,473.09,13.4432,1.4087,2.3203,3.2800000000000002,7.4387
2019-10-22,8.19,19.18,471.76,13.4054,1.4048,2.3138,3.29,7.4597
2019-10-23,8.21,19.18,473.45,13.4534,1.4098,2.3221,3.2800000000000002,7.433
2019-10-24,8.27,19.18,473.26,13.448,1.4092,2.3212,3.2800000000000002,7.436
2019-10-25,8.25,19.18,475.59,13.5142,1.4162,2.3326000000000002,3.27,7.3996
2019-10-28,7.34,19.18,477.97,13.5828,1.4232,2.3441,3.25,7.3622
2019-10-29,7.34,19.18,479.31,13.6209,1.4272,2.3507,3.24,7.3417
