ticker,XLF US Equity,XLF US Equity,XLF US Equity,XLF US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-08-12,26.65,2.7295,56837635.0,80.234
2019-08-13,26.98,2.7736,72404973.0,80.234
2019-08-14,25.98,2.7656,92067291.0,80.234
2019-08-15,26.11,2.7754,59686955.0,80.234
2019-08-16,26.57,2.7542999999999997,49339086.0,80.234
2019-08-18,26.57,2.7542999999999997,49339086.0,81.977
2019-08-19,26.84,2.7898,38298798.0,81.977
2019-08-20,26.48,3.2065,40587187.0,81.977
2019-08-21,26.6,3.2263,44922814.0,81.977
2019-08-22,26.78,3.4558,43902626.0,81.977
2019-08-23,26.1,3.4201,86262189.0,81.977
2019-08-25,26.1,3.4201,86262189.0,81.691
2019-08-26,26.35,3.3578,34240962.0,81.691
2019-08-27,26.19,3.4013999999999998,54243969.0,81.691
2019-08-28,26.43,3.1918,51879555.0,81.691
2019-08-29,26.83,3.1172,49830058.0,81.691
2019-08-30,26.92,3.0635,40565540.0,81.691
2019-09-01,26.92,3.0635,40565540.0,80.913
2019-09-03,26.64,3.0789,60003508.0,80.913
2019-09-04,26.9,3.1004,43946483.0,80.913
2019-09-05,27.45,3.0886,68642748.0,80.913
2019-09-06,27.44,3.0901,35660801.0,80.913
2019-09-08,27.44,3.0901,35660801.0,80.867
2019-09-09,27.86,3.0658,67798105.0,80.867
2019-09-10,27.96,2.8086,77540058.0,80.867
2019-09-11,28.12,2.8234,53285947.0,80.867
2019-09-12,28.27,2.8838,72872161.0,80.867
2019-09-13,28.49,2.8165,56248735.0,80.867
2019-09-15,28.49,2.8165,56248735.0,79.244
2019-09-16,28.39,2.6671,36693589.0,79.244
2019-09-17,28.42,2.5542,41036022.0,79.244
2019-09-18,28.52,2.5705999999999998,57487672.0,79.244
2019-09-19,28.39,2.6884,43068798.0,79.244
2019-09-20,28.08,3.27,83159933.0,79.244
2019-09-22,28.08,3.27,83159933.0,79.421
2019-09-23,28.13,3.2249,35999922.0,79.421
2019-09-24,27.86,3.1624,61938301.0,79.421
2019-09-25,28.09,3.1624,53843910.0,79.421
2019-09-26,27.96,3.156,53294733.0,79.421
2019-09-27,28.07,3.121,73400527.0,79.421
2019-09-29,28.07,3.121,73400527.0,78.334
2019-09-30,28.0,3.1189999999999998,30702989.0,78.334
2019-10-01,27.41,3.1332,55856502.0,78.334
2019-10-02,26.85,3.0594,79284340.0,78.334
2019-10-03,26.96,3.0,81616880.0,78.334
2019-10-04,27.46,2.9599,41513512.0,78.334
2019-10-06,27.46,2.9599,41513512.0,77.577
2019-10-07,27.32,3.0462,36987430.0,77.577
2019-10-08,26.78,3.0164,60876208.0,77.577
2019-10-09,27.03,2.9926,45674200.0,77.577
2019-10-10,27.31,2.9939,55462104.0,77.577
2019-10-11,27.65,2.7983000000000002,79325703.0,77.577
2019-10-13,27.65,2.7983000000000002,79325703.0,77.692
2019-10-14,27.69,2.8418,38557294.0,77.692
2019-10-15,28.09,2.6785,66547206.0,77.692
2019-10-16,28.02,2.6805,44758084.0,77.692
2019-10-17,28.04,2.6125,32164074.0,77.692
2019-10-18,28.11,2.6390000000000002,40525653.0,77.692
