ticker,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-08-07,9.24,35.73,629.32,17.543,4.7277000000000005,1.6928,3.93,5.7003
2019-08-08,9.23,35.73,639.8,17.7408,4.8064,1.721,3.86,5.6367
2019-08-09,9.24,35.7,634.46,17.6276,4.7632,1.7125,3.9,5.6729
2019-08-12,9.24,35.7,625.81,17.4108,4.6983,1.6892,3.96,5.7436
2019-08-13,9.24,35.7,632.99,17.6106,4.7522,1.7085,3.91,5.6784
2019-08-14,9.24,35.7,614.04,17.0607,4.6099,1.6574,4.03,5.8614
2019-08-15,9.08,35.7,612.61,17.0095,4.5961,1.6524,4.05,5.8791
2019-08-16,9.05,35.7,624.22,17.3319,4.6832,1.6837,3.9699999999999998,5.7697
2019-08-19,8.99,35.7,630.49,17.5197,4.7302,1.7012,3.92,5.7079
2019-08-20,8.98,35.7,626.1,17.3977,4.6973,1.6893,3.95,5.7479
2019-08-21,9.0,35.7,630.3,17.5144,4.7288,1.7006000000000001,3.92,5.7096
2019-08-22,9.0,35.7,631.18,17.5389,4.7354,1.7029999999999998,3.92,5.7016
2019-08-23,9.0,35.7,614.12,17.0648,4.6074,1.657,4.03,5.86
2019-08-26,8.99,35.7,618.66,17.191,4.6415,1.6692,4.0,5.817
2019-08-27,8.99,35.7,615.97,17.1163,4.6213,1.662,4.01,5.8424
2019-08-28,8.99,35.7,622.48,17.3012,4.6701,1.6795,3.9699999999999998,5.7799
2019-08-29,8.99,35.7,633.48,17.5689,4.7526,1.7092,3.9,5.6919
2019-08-30,8.99,35.7,636.24,17.5831,4.7734,1.7256,4.03,5.6873000000000005
2019-09-02,8.98,36.18,636.24,17.5831,4.7734,1.7256,4.03,5.6873000000000005
2019-09-03,8.94,36.18,627.22,17.3366,4.703,1.7005,4.08,5.7681000000000004
2019-09-04,8.97,36.18,635.4,17.5627,4.7643,1.7227000000000001,4.03,5.6939
2019-09-05,8.97,36.18,646.62,17.8304,4.8484,1.7530999999999999,3.96,5.6084
2019-09-06,8.97,36.18,647.68,17.8592,4.8564,1.756,3.95,5.5993
2019-09-09,8.97,36.18,649.5,17.9084,4.87,1.7609,3.94,5.584
2019-09-10,9.0,36.18,655.99,18.0874,4.9187,1.7785,3.9,5.5287
2019-09-11,8.99,36.18,662.29,18.2611,4.9658999999999995,1.7955999999999999,3.86,5.4761
2019-09-12,8.99,36.23,662.79,18.3237,4.9697,1.7970000000000002,3.86,5.4574
2019-09-13,9.01,36.23,666.21,18.4183,4.9953,1.8062,3.84,5.4294
2019-09-16,9.01,36.22,665.21,18.3901,4.9878,1.8035,3.84,5.4376999999999995
2019-09-17,9.0,36.22,664.94,18.3827,4.9858,1.8028,3.85,5.4399
2019-09-18,8.98,36.21,664.01,18.3572,4.9788,1.8002,3.67,5.4475
2019-09-19,8.97,36.21,660.72,18.2662,4.9542,1.7913000000000001,3.68,5.4746
2019-09-20,8.97,36.21,656.39,18.1465,4.9216999999999995,1.7795999999999998,3.71,5.5107
2019-09-23,8.94,36.15,655.24,18.1636,4.9153,1.779,3.7199999999999998,5.5055
2019-09-24,8.95,36.15,651.05,18.0475,4.8839,1.7677,3.74,5.5409
2019-09-25,8.97,36.15,655.69,18.1761,4.9187,1.7803,3.71,5.5017
2019-09-26,8.97,36.15,656.23,18.1911,4.9227,1.7816999999999998,3.71,5.4972
2019-09-27,8.96,35.85,653.53,18.1115,4.736,1.7711999999999999,3.73,5.5213
2019-09-30,8.96,36.56,654.89,18.1786,4.758,1.7629000000000001,4.19,5.501
2019-10-01,8.96,36.56,639.2,17.7431,4.644,1.7207,4.29,5.636
2019-10-02,8.95,36.56,626.62,17.3939,4.5526,1.6867999999999999,4.38,5.7491
2019-10-03,8.94,36.56,631.02,17.516,4.5845,1.6985999999999999,4.34,5.7091
2019-10-04,8.93,36.56,637.93,17.7078,4.6347000000000005,1.7172,4.3,5.6472
2019-10-07,8.87,36.56,634.49,17.6124,4.6097,1.708,4.32,5.6777999999999995
2019-10-08,8.86,36.56,624.51,17.3353,4.5372,1.6811,4.39,5.7686
2019-10-09,8.92,36.56,629.83,17.483,4.5759,1.6954,4.35,5.7198
2019-10-10,8.93,36.56,635.25,17.6334,4.6152999999999995,1.71,4.32,5.671
2019-10-11,8.92,36.56,647.76,17.9807,4.7062,1.7437,4.23,5.5615
2019-10-14,8.91,36.56,646.23,17.9382,4.695,1.7396,4.24,5.5747
2019-10-15,9.0,36.56,651.32,18.0795,4.732,1.7532999999999999,4.21,5.5311
2019-10-16,8.92,36.56,651.04,18.0723,4.73,1.7525,4.21,5.5333
2019-10-17,8.93,36.56,654.11,18.1638,4.7523,1.7608000000000001,4.19,5.5055
2019-10-18,8.99,36.56,648.41,18.0057,4.7109,1.7455,4.22,5.5538
2019-10-21,8.98,36.56,652.36,18.2117,4.7396,1.7561,4.24,5.491
2019-10-22,8.96,36.56,657.62,18.3586,4.7778,1.7702,4.2,5.447
2019-10-23,8.95,36.56,657.43,18.3525,4.7764,1.7697,4.2,5.4488
2019-10-24,8.91,36.56,658.24,18.3751,4.7823,1.7719,4.2,5.4421
2019-10-25,8.89,36.56,662.43,18.4912,4.8126999999999995,1.7832,4.17,5.408
2019-10-28,8.89,36.56,664.12,18.538,4.825,1.7877,4.16,5.3943
2019-10-29,8.88,36.56,666.71,18.6103,4.8438,1.7947,4.15,5.3734
2019-10-30,8.85,36.56,668.93,18.6723,4.86,1.8007,4.13,5.3555
2019-10-31,8.86,36.56,661.33,18.4552,4.8036,1.7801,4.18,5.4185
2019-11-01,8.86,36.56,675.93,18.8627,4.9097,1.8194,4.09,5.3015
2019-11-04,8.85,36.57,684.05,19.1037,4.9768,1.8481,4.07,5.2346
2019-11-05,8.97,36.57,685.41,19.1417,4.9867,1.8517000000000001,4.06,5.2242
2019-11-06,8.97,36.57,685.74,19.151,4.9891,1.8526,4.06,5.2216
2019-11-07,9.01,36.57,687.29,19.1943,5.0003,1.8568,4.05,5.2099
2019-11-08,8.97,36.57,688.42,19.2367,5.0086,1.861,4.04,5.1984
2019-11-11,9.04,36.57,688.92,19.2547,5.0122,1.8622999999999998,4.04,5.1935
2019-11-12,9.01,36.57,688.7,19.2485,5.0106,1.8618000000000001,4.04,5.1952
2019-11-13,9.01,36.57,685.95,19.1717,4.9906,1.8542999999999998,4.06,5.216
2019-11-14,9.01,36.57,687.64,19.2189,5.0029,1.8589,4.05,5.2032
2019-11-15,9.0,36.57,692.36,19.3634,5.0372,1.8716,4.02,5.1644
2019-11-18,9.01,36.57,690.07,19.2994,5.0206,1.8655,4.03,5.1815
2019-11-19,9.02,36.57,689.24,19.2762,5.0145,1.8632,4.04,5.1878
2019-11-20,9.02,36.57,684.1,19.1266,4.9771,1.8493,4.07,5.2283
2019-11-21,9.01,36.57,683.02,19.0964,4.9693000000000005,1.8464,4.07,5.2366
2019-11-22,9.1,36.57,686.73,19.2001,4.9963,1.8564,4.05,5.2083
2019-11-25,9.11,36.57,691.65,19.3377,5.0321,1.8697,4.02,5.1713000000000005
2019-11-26,9.05,36.57,693.7,19.395,5.047,1.8753,4.01,5.156
2019-11-27,8.99,36.57,692.44,19.3597,5.0378,1.8719000000000001,4.02,5.1654
2019-11-28,8.99,36.57,692.44,19.3597,5.0378,1.8719000000000001,4.02,5.1654
2019-11-29,8.99,36.57,688.72,19.2557,5.0107,1.8618000000000001,4.04,5.1933
2019-12-02,8.78,36.56,677.64,18.969,4.9229,1.8322,4.08,5.2718
2019-12-03,8.77,36.56,670.19,18.7605,4.8688,1.812,4.13,5.3304
2019-12-04,8.79,36.56,672.38,18.8218,4.8847000000000005,1.8178999999999998,4.12,5.313
2019-12-05,8.77,36.56,672.74,18.8319,4.8873,1.8189,4.11,5.3102
2019-12-06,8.77,36.56,681.2,19.0687,4.9488,1.8418,4.06,5.2442
2019-12-09,8.76,36.5,678.85,19.0199,4.9322,1.8397999999999999,4.07,5.2577
2019-12-10,8.76,36.5,677.67,18.9868,4.9236,1.8366,4.08,5.2668
2019-12-11,8.79,36.5,682.25,19.1148,4.9569,1.8491,4.05,5.2315
2019-12-12,8.79,36.5,688.12,19.2885,5.0008,1.865,4.02,5.1844
2019-12-13,8.79,36.5,686.22,19.2489,4.987,1.8608,4.01,5.1951
2019-12-16,8.78,36.5,686.0,19.2393,4.9854,1.8601999999999999,4.02,5.1977
2019-12-17,8.8,36.5,685.49,19.225,4.9817,1.8588,4.02,5.2016
2019-12-18,8.8,36.5,682.08,19.1294,4.9569,1.8495,4.04,5.2276
2019-12-19,8.8,36.5,684.03,19.1842,4.971,1.8548,4.03,5.2126
2019-12-20,8.8,36.5,687.99,19.2951,4.9998000000000005,1.8656000000000001,4.0,5.1827
2019-12-23,8.36,36.51,692.34,19.4393,5.0397,1.8774,3.9699999999999998,5.1442
2019-12-24,8.36,36.51,689.99,19.3733,5.0226,1.8711,3.99,5.1617
2019-12-25,8.36,36.51,689.99,19.3733,5.0226,1.8711,3.99,5.1617
2019-12-26,8.37,36.51,691.59,19.4182,5.0343,1.8754,3.98,5.1498
2019-12-27,8.36,36.55,691.34,19.3699,5.0261,1.8728,3.98,5.1626
2019-12-30,8.36,36.5,687.4,19.2747,5.0092,1.8615,4.01,5.1881
2019-12-31,8.37,36.1,687.6,19.7099,5.0376,1.8607,3.76,5.0736
2020-01-01,8.37,36.1,687.6,19.7099,5.0376,1.8607,3.76,5.0736
