ticker,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-07-23,3.7800000000000002,39.99,303.77,20.1217,2.1896,2.5438,-2.58,4.9698
2019-07-24,4.18,39.99,303.99,20.1363,2.1912,2.5457,-2.58,4.9662
2019-07-25,4.16,39.99,303.08,20.076,2.1847,2.5380000000000003,-2.59,4.9811
2019-07-26,4.15,39.99,304.33,20.1588,2.1937,2.5484999999999998,-2.58,4.9606
2019-07-29,4.15,39.99,305.83,20.2581,2.2045,2.5611,-2.57,4.9363
2019-07-30,4.14,39.99,303.49,20.1031,2.1875999999999998,2.5415,-2.59,4.9743
2019-07-31,4.07,39.99,301.9,19.9978,2.1761,2.5282,-2.6,5.0005
2019-08-01,3.93,39.96,304.94,20.1829,2.1983,2.5513,-2.58,4.9547
2019-08-02,3.93,39.96,305.1,20.1935,2.1994,2.5526999999999997,-2.58,4.9521
2019-08-05,3.76,39.96,300.49,19.8884,2.1662,2.5141,-2.62,5.0281
2019-08-06,5.8,39.96,304.4,20.147100000000002,2.1944,2.5468,-2.59,4.9635
2019-08-07,5.84,39.96,305.06,20.1908,2.1991,2.5523,-2.58,4.9527
2019-08-08,5.8,39.96,308.18,20.3973,2.2216,2.5785,-2.55,4.9026
2019-08-09,5.75,39.96,308.29,20.4046,2.2224,2.5794,-2.55,4.9009
2019-08-12,5.8,39.96,307.75,20.3689,2.2185,2.5749,-2.56,4.9094999999999995
2019-08-13,5.85,39.96,307.88,20.3775,2.2195,2.5759,-2.56,4.9074
2019-08-14,5.84,39.96,304.99,20.1862,2.1986,2.5518,-2.58,4.9539
2019-08-15,5.74,39.96,308.83,20.4403,2.2263,2.5839,-2.55,4.8923
2019-08-16,5.73,39.96,309.93,20.5132,2.2343,2.5930999999999997,-2.54,4.8749
2019-08-19,5.71,39.96,312.07,20.6548,2.2497,2.6109999999999998,-2.52,4.8415
2019-08-20,5.72,39.96,311.51,20.6177,2.2456,2.6063,-2.5300000000000002,4.8502
2019-08-21,5.71,39.96,313.61,20.7567,2.2608,2.6239,-2.51,4.8177
2019-08-22,5.71,39.96,313.82,20.7706,2.2622999999999998,2.6256,-2.51,4.8145
2019-08-23,5.71,39.96,310.52,20.5522,2.2385,2.598,-2.54,4.8657
2019-08-26,5.67,39.95,314.19,20.7989,2.2631,2.6310000000000002,-2.51,4.8079
2019-08-27,5.63,39.95,314.62,20.8274,2.2662,2.6346,-2.51,4.8014
2019-08-28,5.63,39.95,313.8,20.7731,2.2603,2.6277,-2.52,4.8139
2019-08-29,5.62,39.95,315.82,20.9068,2.2748,2.6446,-2.5,4.7831
2019-08-30,5.59,39.95,315.97,20.9168,2.2759,2.6459,-2.5,4.7809
2019-09-02,4.06,39.95,315.97,20.9168,2.2759,2.6459,-2.5,4.7809
2019-09-03,4.07,39.95,321.51,21.2835,2.3158,2.6923,-2.46,4.6985
2019-09-04,4.06,39.95,321.98,21.3146,2.3192,2.6962,-2.45,4.6916
2019-09-05,4.05,39.95,318.15,21.0611,2.2916,2.6642,-2.48,4.7481
2019-09-06,4.04,39.95,317.09,20.9909,2.2839,2.6553,-2.49,4.764
2019-09-09,4.03,39.95,315.12,20.860500000000002,2.2698,2.6388,-2.51,4.7937
2019-09-10,4.02,39.95,315.43,20.881,2.2720000000000002,2.6414,-2.5,4.789
2019-09-11,4.01,39.95,318.51,21.0849,2.2942,2.6672000000000002,-2.48,4.7427
2019-09-12,4.02,39.95,318.94,21.1134,2.2973,2.6708,-2.48,4.7363
