ticker,XLP US Equity,XLP US Equity,XLP US Equity,XLP US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-10-30,61.25,1.3435000000000001,7216383.0,75.837
2019-10-31,61.16,1.3247,12628109.0,75.837
2019-11-01,61.15,1.3321,10231960.0,75.837
2019-11-03,61.15,1.3321,10231960.0,77.374
2019-11-04,60.56,1.3461,17082683.0,77.374
2019-11-05,60.76,1.294,17192219.0,77.374
2019-11-06,61.01,1.2901,8284492.0,77.374
2019-11-07,60.8,1.2958,9437822.0,77.374
2019-11-08,60.76,1.2931,7574243.0,77.374
2019-11-10,60.76,1.2931,7574243.0,80.22
2019-11-11,60.67,1.4327,5632194.0,80.22
2019-11-12,60.87,1.3431,7085094.0,80.22
2019-11-13,61.33,1.3367,9508395.0,80.22
2019-11-14,61.31,1.3307,8442110.0,80.22
2019-11-15,61.33,1.3351,7221445.0,80.22
2019-11-17,61.33,1.3351,7221445.0,80.693
2019-11-18,61.65,1.4637,8615497.0,80.693
2019-11-19,61.57,1.2517,8560914.0,80.693
2019-11-20,61.71,1.2516,11935881.0,80.693
2019-11-21,61.4,1.2475,7611141.0,80.693
2019-11-22,61.3,1.3904,5517052.0,80.693
2019-11-24,61.3,1.3904,5517052.0,80.872
2019-11-25,61.37,1.3907,10396518.0,80.872
2019-11-26,61.87,1.3149,7358892.0,80.872
2019-11-27,62.02,1.2137,5483250.0,80.872
2019-11-29,62.0,1.2112,3008494.0,80.872
2019-12-01,62.0,1.2112,3008494.0,82.077
2019-12-02,62.14,1.2172,17920081.0,82.077
2019-12-03,62.04,1.0737,20537424.0,82.077
2019-12-04,62.45,1.1091,17369149.0,82.077
2019-12-05,62.43,1.097,13445168.0,82.077
2019-12-06,62.67,1.0996,10746704.0,82.077
2019-12-08,62.67,1.0996,10746704.0,78.164
2019-12-09,62.72,1.1349,6898808.0,78.164
2019-12-10,62.52,1.1381000000000001,7194326.0,78.164
2019-12-11,62.61,1.185,6201740.0,78.164
2019-12-12,62.56,1.1931,11843823.0,78.164
2019-12-13,62.78,1.2208,10158294.0,78.164
2019-12-15,62.78,1.2208,10158294.0,78.176
2019-12-16,63.0,1.2216,10004622.0,78.176
2019-12-17,62.9,1.2554,8005483.0,78.176
2019-12-18,62.8,1.2507,5464078.0,78.176
2019-12-19,63.14,1.2530999999999999,9068128.0,78.176
2019-12-20,63.1,1.8324,15270570.0,78.176
2019-12-22,63.1,1.8324,15270570.0,77.736
2019-12-23,62.83,1.9069,6006541.0,77.736
2019-12-24,62.91,1.6834,1700093.0,77.736
2019-12-26,62.97,1.6835,8638550.0,77.736
2019-12-27,63.25,1.5104,10315292.0,77.736
2019-12-29,63.25,1.5104,10315292.0,78.778
2019-12-30,62.92,1.4203000000000001,6238572.0,78.778
2019-12-31,62.98,1.4152,4985440.0,78.778
