ticker,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-10-28,7.26,33.32,172.68,21.1477,3.3402,3.0002,4.79,4.7286
2019-10-29,7.27,33.32,171.03,20.9456,3.3083,2.9715,4.84,4.7743
2019-10-30,7.26,33.32,171.36,20.986,3.3147,2.9772,4.83,4.7651
2019-10-31,7.23,33.32,171.82,21.0424,3.3236,2.9852,4.82,4.7523
2019-11-01,7.22,33.32,173.25,21.2175,3.3512,3.0101,4.78,4.7131
2019-11-04,7.58,33.32,173.95,21.5574,3.3648,3.0222,4.76,4.6388
2019-11-05,7.57,33.32,173.83,21.5425,3.3624,3.0201,4.76,4.642
2019-11-06,7.73,33.32,173.48,21.4991,3.3557,3.0141,4.77,4.6513
2019-11-07,8.26,33.32,174.64,21.6429,3.3781,3.0342,4.74,4.6205
2019-11-08,8.29,33.32,175.28,21.7018,3.3905,3.0453,4.72,4.6079
2019-11-11,8.26,33.32,174.59,21.6117,3.3771,3.0329,4.74,4.6271
2019-11-12,8.28,33.32,175.11,21.676,3.3872,3.0419,4.73,4.6134
2019-11-13,8.58,33.32,175.85,21.7676,3.4015,3.0548,4.71,4.594
2019-11-14,8.6,33.32,176.38,21.8333,3.4118,3.064,4.7,4.5802
2019-11-15,8.2,33.32,177.63,21.988,3.4359,3.0857,4.66,4.5479
2019-11-18,8.19,33.32,178.12,22.0486,3.4454000000000002,3.0942,4.65,4.5354
2019-11-19,8.2,33.32,177.66,21.9887,3.4361,3.0858,4.66,4.5478
2019-11-20,8.2,33.32,176.25,21.8142,3.4088,3.0613,4.7,4.5842
2019-11-21,8.2,33.32,176.69,21.8687,3.4173,3.069,4.6899999999999995,4.5728
2019-11-22,8.18,33.32,176.92,21.897100000000002,3.4218,3.0729,4.68,4.5668
2019-11-25,8.17,33.33,177.13,21.9213,3.4253,3.0759,4.68,4.5618
2019-11-26,8.15,33.33,177.77,22.0005,3.4377,3.0871,4.66,4.5454
2019-11-27,8.17,33.33,178.89,22.1391,3.4593,3.1065,4.63,4.5169
2019-11-28,8.17,33.33,178.89,22.1391,3.4593,3.1065,4.63,4.5169
2019-11-29,8.16,33.33,178.24,22.0586,3.4468,3.0952,4.65,4.5334
